Table 5. CRISPR Scores from Ba/F3 cells								
Gene	sgRNAs included	-IL-3 CS	+IL-3 CS	Differential CS	-IL-3 CS	+IL-3 CS	Differential CS	Average Differential CS
Furin	9	0,043	0,262	-0,219	-0,68	0,004	-0,684	-0,4515
Dscr3	10	-0,1	0,45	-0,55	-0,007	0,346	-0,353	-0,4515
Gramd1a	8	-0,824	-0,761	-0,063	-1,432	-0,592	-0,84	-0,4515
Clcc1	10	-0,722	-0,518	-0,204	-2,057	-1,358	-0,699	-0,4515
Bop1	10	-3,397	-3,631	0,234	-4,988	-3,852	-1,136	-0,451
Gpt	9	-0,595	0,003	-0,598	-0,403	-0,099	-0,304	-0,451
D17H6S53E	7	-0,585	-0,253	-0,332	-1,131	-0,561	-0,57	-0,451
Galk1	10	-0,431	-0,169	-0,262	-0,353	0,287	-0,64	-0,451
Pcgf3	10	0,024	0,331	-0,307	-0,587	0,008	-0,595	-0,451
Amz1	9	-0,568	-0,085	-0,483	-0,657	-0,238	-0,419	-0,451
Tbr1	8	-0,292	0,048	-0,34	-0,827	-0,265	-0,562	-0,451
Gm17384	10	0,088	0,242	-0,154	-0,38	0,367	-0,747	-0,4505
Ascl3	9	0,008	0,364	-0,356	-0,401	0,144	-0,545	-0,4505
1700011E24Rik	10	0,03	0,182	-0,152	-0,573	0,176	-0,749	-0,4505
Mapk1ip1l	10	-1,037	-0,504	-0,533	-1,386	-1,018	-0,368	-0,4505
Gstcd	10	-0,336	0,189	-0,525	-0,236	0,139	-0,375	-0,45
Tdp2	9	-0,417	-0,068	-0,349	-0,623	-0,072	-0,551	-0,45
Klf14	10	-0,552	-0,267	-0,285	-0,278	0,337	-0,615	-0,45
Ptchd3	8	-0,718	-0,447	-0,271	-1,433	-0,804	-0,629	-0,45
Cyth3	10	0,185	0,191	-0,006	-0,577	0,316	-0,893	-0,4495
Pus3	9	-2,149	-1,972	-0,177	-3,378	-2,656	-0,722	-0,4495
Dcaf12l2	10	0,26	0,507	-0,247	-0,063	0,589	-0,652	-0,4495
Ruvbl2	8	-4,177	-3,71	-0,467	-5,494	-5,062	-0,432	-0,4495
Mef2d	9	-0,153	0,055	-0,208	-0,526	0,164	-0,69	-0,449
Cib3	9	-0,341	0,385	-0,726	-0,196	-0,024	-0,172	-0,449
Tekt1	10	-0,543	-0,247	-0,296	-0,86	-0,258	-0,602	-0,449
Lipe	9	-0,664	-0,233	-0,431	-1,003	-0,536	-0,467	-0,449
Rps2	9	-5,496	-4,642	-0,854	-5,986	-5,942	-0,044	-0,449
Gjd4	10	-0,192	0,151	-0,343	-0,533	0,021	-0,554	-0,4485
Lrp3	7	-0,498	-0,288	-0,21	-0,842	-0,155	-0,687	-0,4485
Bmp4	9	-0,226	0,045	-0,271	-0,878	-0,252	-0,626	-0,4485
Sh3tc1	9	-0,995	-0,774	-0,221	-1,428	-0,752	-0,676	-0,4485
Fads1	9	-0,942	-0,486	-0,456	-1,371	-0,93	-0,441	-0,4485
Tspan10	10	-0,511	-0,369	-0,142	-1,191	-0,437	-0,754	-0,448
Slc12a1	10	0,001	0,459	-0,458	-0,015	0,423	-0,438	-0,448
Auts2	10	-1,032	-1,094	0,062	-1,52	-0,562	-0,958	-0,448
Arl6ip4	9	-1,297	-1,227	-0,07	-1,937	-1,111	-0,826	-0,448
Psd2	8	-0,018	-0,154	0,136	-2	-0,969	-1,031	-0,4475
Spg11	10	-0,754	-0,25	-0,504	-0,869	-0,478	-0,391	-0,4475
Ppargc1b	9	-0,907	-0,217	-0,69	-0,673	-0,468	-0,205	-0,4475
Fxyd7	9	-0,483	-0,08	-0,403	-0,858	-0,366	-0,492	-0,4475
Scnn1a	10	-1,338	-1,149	-0,189	-1,266	-0,56	-0,706	-0,4475
Klrc3	9	-0,018	0,203	-0,221	-0,892	-0,218	-0,674	-0,4475
Zcchc8	8	-4,088	-3,469	-0,619	-4,348	-4,072	-0,276	-0,4475
Cnot6l	9	0,581	1,076	-0,495	0,304	0,703	-0,399	-0,447
Bak1	10	-0,318	-0,162	-0,156	-0,643	0,095	-0,738	-0,447
Agtrap	9	-0,426	-0,223	-0,203	-0,802	-0,111	-0,691	-0,447
Fbxl4	10	-0,984	-0,59	-0,394	-1,621	-1,121	-0,5	-0,447
Sox13	10	-0,431	-0,383	-0,048	-1,181	-0,336	-0,845	-0,4465
Slc13a2	7	-0,007	0,267	-0,274	-0,711	-0,092	-0,619	-0,4465
Prr5	10	-0,621	-0,079	-0,542	-0,303	0,048	-0,351	-0,4465
C9	10	-0,122	0,228	-0,35	-0,69	-0,147	-0,543	-0,4465
Exoc1	7	-2,252	-2,13	-0,122	-3,556	-2,785	-0,771	-0,4465
Gpr61	9	-0,001	-0,174	0,173	-1,247	-0,182	-1,065	-0,446
Muc15	10	0,076	0,613	-0,537	-0,138	0,217	-0,355	-0,446
L3mbtl3	8	-0,166	0,387	-0,553	0,599	0,938	-0,339	-0,446
Brsk1	10	-0,535	0,08	-0,615	-0,766	-0,489	-0,277	-0,446
Magea5	9	-0,203	-0,041	-0,162	-0,977	-0,247	-0,73	-0,446
Etfdh	9	-0,403	-0,489	0,086	-1,32	-0,342	-0,978	-0,446
Gjb5	8	-0,044	0,324	-0,368	-0,556	-0,032	-0,524	-0,446
Qsox1	10	-0,723	-0,079	-0,644	-0,464	-0,216	-0,248	-0,446
Atf7ip2	10	-0,172	-0,322	0,15	-1,026	0,016	-1,042	-0,446
Cdh16	9	-0,687	-0,556	-0,131	-1,42	-0,659	-0,761	-0,446
Ep300	9	-2,175	-1,694	-0,481	-3,87	-3,459	-0,411	-0,446
Naprt1	9	-0,437	-0,104	-0,333	-0,917	-0,359	-0,558	-0,4455
Pdgfb	10	-0,169	0,144	-0,313	-0,819	-0,241	-0,578	-0,4455
Kdm2b	8	0,209	0,205	0,004	0,099	0,994	-0,895	-0,4455
Usp43	9	-0,71	-0,738	0,028	-1,575	-0,656	-0,919	-0,4455
Zfp592	6	-3,329	-2,503	-0,826	-3,987	-3,923	-0,064	-0,445
Mid1	9	-0,014	0,375	-0,389	-0,299	0,202	-0,501	-0,445
Pitpnc1	9	-0,073	0,192	-0,265	-0,321	0,304	-0,625	-0,445
Eln	10	-1,422	-0,913	-0,509	-1,859	-1,478	-0,381	-0,445
Nudt15	10	-0,052	0,236	-0,288	-0,749	-0,147	-0,602	-0,445
Cdc23	10	-3,413	-2,998	-0,415	-3,818	-3,343	-0,475	-0,445
Spr	10	-1,25	-1,036	-0,214	-2,276	-1,6	-0,676	-0,445
Gbp4	10	-0,343	-0,175	-0,168	-0,942	-0,221	-0,721	-0,4445
Slc11a2	10	-0,427	-0,175	-0,252	-0,823	-0,186	-0,637	-0,4445
Npepps	8	-0,108	-0,195	0,087	-1,43	-0,454	-0,976	-0,4445
Rgs12	9	-0,526	-0,112	-0,414	-0,381	0,094	-0,475	-0,4445
Cldn9	10	-0,142	0,07	-0,212	-0,356	0,321	-0,677	-0,4445
Samd14	9	-0,565	-0,732	0,167	-1,77	-0,714	-1,056	-0,4445
Sult4a1	9	-0,517	-0,276	-0,241	-0,497	0,151	-0,648	-0,4445
Thoc1	9	-2,871	-2,236	-0,635	-2,385	-2,131	-0,254	-0,4445
Cfc1	8	-0,135	0,082	-0,217	-0,765	-0,094	-0,671	-0,444
Cldn23	9	0,141	0,203	-0,062	-0,653	0,173	-0,826	-0,444
Cntn5	9	0,066	0,397	-0,331	-0,39	0,167	-0,557	-0,444
Bin1	9	-0,632	-0,413	-0,219	-1,431	-0,762	-0,669	-0,444
R3hcc1l	10	-0,131	0,109	-0,24	-0,449	0,199	-0,648	-0,444
4930562C15Rik	10	-0,688	-0,251	-0,437	-0,662	-0,211	-0,451	-0,444
9530068E07Rik	9	-0,438	-0,094	-0,344	-0,987	-0,443	-0,544	-0,444
1700029H14Rik	10	-0,601	-0,782	0,181	-1,05	0,019	-1,069	-0,444
Pnma2	9	-0,766	-0,462	-0,304	-0,83	-0,246	-0,584	-0,444
Gm13242	5	-2,919	-3,31	0,391	-4,894	-3,615	-1,279	-0,444
Tsen2	10	-2,554	-2,437	-0,117	-3,46	-2,689	-0,771	-0,444
Slc39a7	8	-2,764	-2,569	-0,195	-3,637	-2,944	-0,693	-0,444
Zfat	8	-1,421	-1,016	-0,405	-1,983	-1,501	-0,482	-0,4435
4933412E24Rik	10	-1,075	-0,514	-0,561	-0,788	-0,462	-0,326	-0,4435
Kcnq3	8	-0,847	-0,635	-0,212	-1,535	-0,86	-0,675	-0,4435
Rhebl1	10	-0,237	-0,053	-0,184	-0,805	-0,103	-0,702	-0,443
Cadm3	9	-0,391	0,011	-0,402	-0,579	-0,095	-0,484	-0,443
Bmp2k	9	0,016	-0,045	0,061	-1,166	-0,219	-0,947	-0,443
Tinf2	9	-4,259	-3,809	-0,45	-4,69	-4,255	-0,435	-0,4425
Casc3	7	-1,45	-1,242	-0,208	-1,999	-1,322	-0,677	-0,4425
Bhlhe40	10	-1,619	-1,44	-0,179	-2,668	-1,963	-0,705	-0,442
Zfp770	9	0,259	0,391	-0,132	-0,298	0,454	-0,752	-0,442
Pvrl4	8	-0,217	0,14	-0,357	-0,542	-0,015	-0,527	-0,442
Ipo13	10	-4,475	-3,493	-0,982	-4,412	-4,51	0,098	-0,442
Myof	7	-1,266	-0,116	-1,15	-0,485	-0,751	0,266	-0,442
Mex3b	9	-0,127	0,059	-0,186	-0,709	-0,011	-0,698	-0,442
Ncf2	9	-0,164	-0,157	-0,007	-0,891	-0,015	-0,876	-0,4415
Capza1	10	0,14	0,01	0,13	-0,414	0,599	-1,013	-0,4415
Prkd3	10	0,395	0,569	-0,174	-0,29	0,418	-0,708	-0,441
Dmxl1	10	0,121	0,411	-0,29	-0,162	0,43	-0,592	-0,441
Ppil2	9	-4,038	-3,369	-0,669	-3,77	-3,558	-0,212	-0,4405
Ears2	8	-4,501	-3,723	-0,778	-4,819	-4,716	-0,103	-0,4405
Ring1	9	-0,424	-0,507	0,083	-1,421	-0,457	-0,964	-0,4405
Tmem129	9	-0,11	0,098	-0,208	-0,816	-0,143	-0,673	-0,4405
Trim2	10	0,047	0,264	-0,217	-0,579	0,085	-0,664	-0,4405
Mfrp	7	-1,303	-1,439	0,136	-1,731	-0,714	-1,017	-0,4405
Kif13a	7	-0,303	-0,21	-0,093	-0,935	-0,147	-0,788	-0,4405
Nrg1	8	-0,131	0,118	-0,249	-0,751	-0,119	-0,632	-0,4405
Emg1	9	-3,798	-3,793	-0,005	-4,121	-3,246	-0,875	-0,44
Tmem235	10	-0,465	-0,131	-0,334	-0,492	0,054	-0,546	-0,44
Grip2	10	0,077	0,248	-0,171	-0,65	0,059	-0,709	-0,44
Trhr2	9	-0,485	-0,344	-0,141	-1,564	-0,825	-0,739	-0,44
Cpsf3	9	-4,959	-4,513	-0,446	-6,333	-5,899	-0,434	-0,44
Mphosph6	9	-2,264	-2,459	0,195	-2,781	-1,706	-1,075	-0,44
Rnase10	9	-0,531	-0,199	-0,332	-0,569	-0,021	-0,548	-0,44
Tmem52	10	-0,289	0,03	-0,319	-0,64	-0,08	-0,56	-0,4395
Gabpa	9	-2,103	-2,5	0,397	-3,662	-2,387	-1,275	-0,439
Gpr3	8	-0,122	0,1	-0,222	-0,894	-0,238	-0,656	-0,439
Cryge	10	-0,323	-0,056	-0,267	-0,528	0,083	-0,611	-0,439
Prss54	10	-0,487	-0,324	-0,163	-0,872	-0,157	-0,715	-0,439
Mesdc2	10	-0,728	-0,39	-0,338	-1,127	-0,588	-0,539	-0,4385
Grn	10	-0,918	-0,451	-0,467	-0,894	-0,484	-0,41	-0,4385
Mlh1	9	-0,283	0,133	-0,416	-0,545	-0,084	-0,461	-0,4385
Samhd1	8	-0,622	-0,117	-0,505	-0,301	0,071	-0,372	-0,4385
Mdm2	9	-5,183	-4,943	-0,24	-5,07	-4,434	-0,636	-0,438
Cacnb3	9	-1,885	-1,276	-0,609	-2,068	-1,801	-0,267	-0,438
Zfp647	8	-0,972	-0,638	-0,334	-0,467	0,075	-0,542	-0,438
Fmo5	8	-0,044	0,176	-0,22	-0,285	0,37	-0,655	-0,4375
Speer2	10	-0,378	-0,275	-0,103	-0,785	-0,013	-0,772	-0,4375
Zfpm1	9	-2,121	-1,949	-0,172	-2,795	-2,092	-0,703	-0,4375
Lsm11	8	-4,724	-4,143	-0,581	-4,38	-4,087	-0,293	-0,437
Slc35c1	10	-0,366	-0,292	-0,074	-1,256	-0,456	-0,8	-0,437
Dcdc2c	10	-0,166	0,067	-0,233	-0,544	0,097	-0,641	-0,437
1700008P02Rik	9	-0,129	0,165	-0,294	-0,597	-0,017	-0,58	-0,437
Dhrs11	9	-0,487	-0,251	-0,236	-1,191	-0,553	-0,638	-0,437
Pdcd1	8	-0,352	-0,097	-0,255	-1,16	-0,541	-0,619	-0,437
Epo	10	-0,177	0,118	-0,295	-0,96	-0,381	-0,579	-0,437
Abcg3	8	-0,287	0,168	-0,455	-0,61	-0,192	-0,418	-0,4365
Gstp1	10	0,125	0,398	-0,273	-0,452	0,148	-0,6	-0,4365
Birc2	10	-0,207	0,269	-0,476	-0,173	0,224	-0,397	-0,4365
Plekhb2	9	0,186	0,348	-0,162	-0,645	0,066	-0,711	-0,4365
Col20a1	8	-0,479	-0,32	-0,159	-1,256	-0,542	-0,714	-0,4365
Rims4	10	-0,114	0,202	-0,316	-0,884	-0,328	-0,556	-0,436
Klf13	9	0,087	0,309	-0,222	0,226	0,876	-0,65	-0,436
Rhox2e	10	-0,652	-0,481	-0,171	-1,431	-0,731	-0,7	-0,4355
Hc	10	-0,401	0,131	-0,532	-0,695	-0,356	-0,339	-0,4355
Brd8	9	-1,123	-1,09	-0,033	-1,603	-0,765	-0,838	-0,4355
Krtap27-1	10	0,172	0,538	-0,366	-0,335	0,169	-0,504	-0,435
Flot1	10	-1,215	-0,849	-0,366	-1,005	-0,501	-0,504	-0,435
Efcab12	9	-0,387	-0,342	-0,045	-1,037	-0,212	-0,825	-0,435
Chst14	10	-0,412	-0,011	-0,401	-0,575	-0,106	-0,469	-0,435
Gm14431	4	-0,857	-0,334	-0,523	-1,032	-0,685	-0,347	-0,435
Gm8898	4	-0,857	-0,334	-0,523	-1,032	-0,685	-0,347	-0,435
Tnrc6b	10	-0,072	0,186	-0,258	-0,026	0,585	-0,611	-0,4345
Gm581	9	-2,041	-1,869	-0,172	-2,597	-1,9	-0,697	-0,4345
Gpr124	10	-1,222	-0,871	-0,351	-1,461	-0,944	-0,517	-0,434
Sval3	10	0,395	0,701	-0,306	0,145	0,707	-0,562	-0,434
Dclre1b	10	-1,466	-1,589	0,123	-2,93	-1,94	-0,99	-0,4335
Mmp23	10	-0,131	-0,091	-0,04	-0,654	0,173	-0,827	-0,4335
Uchl3	10	-0,374	0,226	-0,6	-0,247	0,02	-0,267	-0,4335
Hap1	8	-0,605	-0,365	-0,24	-1,28	-0,653	-0,627	-0,4335
Zfp866	9	-0,517	0,044	-0,561	-0,485	-0,18	-0,305	-0,433
Slc25a28	10	-0,118	0,17	-0,288	-0,788	-0,21	-0,578	-0,433
Ddah2	10	-0,765	-0,576	-0,189	-1,858	-1,181	-0,677	-0,433
Ptprk	9	-0,246	-0,144	-0,102	-0,869	-0,105	-0,764	-0,433
Tox2	10	-1,559	-0,754	-0,805	-1,349	-1,288	-0,061	-0,433
Nptn	8	-0,416	-0,017	-0,399	-0,614	-0,147	-0,467	-0,433
Ppie	10	-2,385	-2,094	-0,291	-3,4	-2,825	-0,575	-0,433
Ppy	10	-0,335	-0,084	-0,251	-0,841	-0,227	-0,614	-0,4325
Casz1	10	-1,294	-0,833	-0,461	-1,615	-1,212	-0,403	-0,432
Dgat1	9	-0,961	-0,45	-0,511	-1,239	-0,886	-0,353	-0,432
Hipk1	9	-1,076	-0,667	-0,409	-1,269	-0,814	-0,455	-0,432
Dntt	8	-1,617	-0,794	-0,823	-1,46	-1,419	-0,041	-0,432
Cul4a	8	-0,24	-0,07	-0,17	-0,725	-0,031	-0,694	-0,432
Josd1	10	0,039	0,045	-0,006	-0,806	0,051	-0,857	-0,4315
Il2rg	9	-0,446	0,014	-0,46	-0,392	0,011	-0,403	-0,4315
Slc52a2	9	-0,686	-0,448	-0,238	-1,002	-0,377	-0,625	-0,4315
Lin37	9	-1,295	-0,641	-0,654	-1,298	-1,089	-0,209	-0,4315
Dysf	7	-1,019	-0,667	-0,352	-1,117	-0,606	-0,511	-0,4315
Slc22a18	10	-0,204	-0,298	0,094	-1,398	-0,441	-0,957	-0,4315
Mex3c	8	-1,694	-1,124	-0,57	-1,992	-1,699	-0,293	-0,4315
Ndufab1	9	-4,741	-4,395	-0,346	-4,534	-4,017	-0,517	-0,4315
Knop1	9	-0,189	0,144	-0,333	-0,663	-0,134	-0,529	-0,431
Ppp1r9a	6	-0,707	-0,923	0,216	-1,576	-0,498	-1,078	-0,431
Adcy5	10	-1,165	-0,928	-0,237	-1,404	-0,779	-0,625	-0,431
Alpk1	10	-0,421	-0,121	-0,3	-0,649	-0,088	-0,561	-0,4305
Psma4	10	-5,707	-5,631	-0,076	-7,166	-6,382	-0,784	-0,43
Rnf152	9	-0,98	-0,644	-0,336	-1,581	-1,057	-0,524	-0,43
Bloc1s3	10	-1,077	-1,053	-0,024	-1,203	-0,368	-0,835	-0,4295
Mup3	10	-0,455	-0,296	-0,159	-1,198	-0,498	-0,7	-0,4295
Egln1	9	-2,773	-2,469	-0,304	-4,43	-3,875	-0,555	-0,4295
Fhad1	9	0,228	0,326	-0,098	-0,608	0,153	-0,761	-0,4295
Rhoh	10	-0,528	-0,59	0,062	-0,947	-0,026	-0,921	-0,4295
Paics	9	-5,887	-5,59	-0,297	-6,729	-6,167	-0,562	-0,4295
Unc45b	9	-1,209	-0,806	-0,403	-1,681	-1,226	-0,455	-0,429
Slc5a10	10	-1,115	-0,564	-0,551	-1,599	-1,292	-0,307	-0,429
Smarcc2	7	-0,033	0,372	-0,405	0,129	0,582	-0,453	-0,429
Col5a3	8	-0,817	-0,889	0,072	-1,467	-0,537	-0,93	-0,429
Gsdmc2	9	-0,496	-0,025	-0,471	-0,894	-0,508	-0,386	-0,4285
Abhd14b	9	-0,406	-0,08	-0,326	-0,513	0,018	-0,531	-0,4285
A4gnt	9	-0,256	0,051	-0,307	-0,829	-0,279	-0,55	-0,4285
Scgb2b7	9	-0,355	-0,114	-0,241	-0,849	-0,233	-0,616	-0,4285
Mitf	10	-0,003	0,308	-0,311	-0,335	0,211	-0,546	-0,4285
Ifitm1	10	-0,451	-0,275	-0,176	-1,133	-0,452	-0,681	-0,4285
Nrxn2	10	-0,44	-0,172	-0,268	-0,877	-0,289	-0,588	-0,428
Mkrn1	10	-0,512	0,018	-0,53	-0,395	-0,069	-0,326	-0,428
Smgc	9	0,018	0,349	-0,331	-0,541	-0,016	-0,525	-0,428
Gpc5	9	-0,159	0,174	-0,333	-0,481	0,042	-0,523	-0,428
Dynlt1b	10	-1,056	-0,808	-0,248	-2,054	-1,446	-0,608	-0,428
Mrps12	10	-3,32	-3,296	-0,024	-4,565	-3,734	-0,831	-0,4275
Cd164l2	9	-0,128	0,001	-0,129	-0,682	0,044	-0,726	-0,4275
Kif18b	10	-3,612	-3,988	0,376	-5,119	-3,888	-1,231	-0,4275
Prpf19	9	-3,673	-3,669	-0,004	-4,502	-3,651	-0,851	-0,4275
Slc22a8	10	-0,328	0,174	-0,502	-0,478	-0,125	-0,353	-0,4275
Tra2a	9	0,19	0,265	-0,075	-0,645	0,135	-0,78	-0,4275
Rnf111	9	-0,25	-0,016	-0,234	-0,994	-0,373	-0,621	-0,4275
Aurka	9	-3,562	-3,865	0,303	-5,117	-3,959	-1,158	-0,4275
Ankrd40	8	-1,924	-1,596	-0,328	-2,785	-2,259	-0,526	-0,427
Cfp	10	-0,766	-0,617	-0,149	-1,445	-0,74	-0,705	-0,427
Mtmr11	8	-0,996	-0,572	-0,424	-0,927	-0,497	-0,43	-0,427
Rhpn2	9	-0,158	0,139	-0,297	-0,463	0,094	-0,557	-0,427
Zfand1	9	0,002	0	0,002	-0,58	0,276	-0,856	-0,427
Zfp800	8	0,264	0,539	-0,275	0,029	0,608	-0,579	-0,427
Tbc1d2	10	-0,244	0,074	-0,318	-1,043	-0,507	-0,536	-0,427
Dhx58	9	-0,718	-0,683	-0,035	-1,138	-0,319	-0,819	-0,427
AW554918	10	0,003	-0,013	0,016	-1,092	-0,223	-0,869	-0,4265
Zfp566	9	-0,646	-0,393	-0,253	-0,932	-0,332	-0,6	-0,4265
Gapdhs	10	0,358	0,22	0,138	-0,828	0,163	-0,991	-0,4265
Fam92b	10	-0,307	0,05	-0,357	-0,797	-0,301	-0,496	-0,4265
Tada3	10	-1,657	-1,143	-0,514	-1,675	-1,336	-0,339	-0,4265
Slc38a1	9	-0,147	-0,055	-0,092	-0,797	-0,036	-0,761	-0,4265
Col1a2	9	-0,047	0,019	-0,066	-1,016	-0,23	-0,786	-0,426
Lancl1	10	0,257	0,169	0,088	-0,551	0,389	-0,94	-0,426
Prss1	10	-0,993	-1,144	0,151	-2,041	-1,038	-1,003	-0,426
LOC100502896	9	-0,711	-0,488	-0,223	-1,757	-1,128	-0,629	-0,426
Ldha	10	-5,622	-5,96	0,338	-7,061	-5,871	-1,19	-0,426
Arhgef16	10	-0,562	-0,113	-0,449	-1,038	-0,636	-0,402	-0,4255
Eif1ad	10	-5,295	-4,62	-0,675	-5,252	-5,076	-0,176	-0,4255
Hs3st1	10	-0,44	-0,344	-0,096	-0,874	-0,119	-0,755	-0,4255
Shisa6	9	-0,223	0,304	-0,527	0,015	0,339	-0,324	-0,4255
Cgnl1	8	-0,864	-0,31	-0,554	-0,972	-0,675	-0,297	-0,4255
Agpat9	9	-0,034	-0,178	0,144	-0,859	0,136	-0,995	-0,4255
Gsdmcl1	8	-1,884	-1,584	-0,3	-1,709	-1,158	-0,551	-0,4255
1190003K10Rik	9	-0,19	0,075	-0,265	-0,469	0,117	-0,586	-0,4255
Hint3	10	-0,73	-0,531	-0,199	-0,844	-0,192	-0,652	-0,4255
Spc25	9	-3,541	-3,473	-0,068	-4,082	-3,3	-0,782	-0,425
Alox8	10	-0,801	-0,222	-0,579	-1,201	-0,93	-0,271	-0,425
Lancl3	8	-0,142	0,177	-0,319	-0,309	0,222	-0,531	-0,425
1700017N19Rik	8	0,259	0,546	-0,287	-0,32	0,243	-0,563	-0,425
1700106J16Rik	9	-1,017	-0,727	-0,29	-2,424	-1,864	-0,56	-0,425
Chat	10	-0,541	-0,373	-0,168	-0,936	-0,255	-0,681	-0,4245
Cer1	8	-0,308	-0,031	-0,277	-0,687	-0,115	-0,572	-0,4245
Sox4	9	-0,293	-0,218	-0,075	-1,391	-0,617	-0,774	-0,4245
Myo15	9	-1,146	-0,847	-0,299	-1,533	-0,983	-0,55	-0,4245
Tubal3	9	-0,389	-0,495	0,106	-2,13	-1,175	-0,955	-0,4245
Colq	9	-0,231	0,164	-0,395	-0,531	-0,078	-0,453	-0,424
Sh3rf2	8	0,121	-0,192	0,313	-1,048	0,113	-1,161	-0,424
Jmjd4	9	0,035	0,405	-0,37	-0,088	0,39	-0,478	-0,424
Erg	9	-0,327	-0,02	-0,307	-0,943	-0,402	-0,541	-0,424
Insig2	10	0,288	0,585	-0,297	-0,321	0,229	-0,55	-0,4235
Erc2	8	0,107	0,292	-0,185	-0,384	0,278	-0,662	-0,4235
Svopl	8	-0,827	-0,589	-0,238	-1,176	-0,567	-0,609	-0,4235
Nlrp4e	10	0,031	0,232	-0,201	-0,676	-0,03	-0,646	-0,4235
Snapc3	9	-3,18	-2,334	-0,846	-2,669	-2,668	-0,001	-0,4235
Jade1	10	-0,396	-0,237	-0,159	-0,873	-0,185	-0,688	-0,4235
Cog4	10	-1,594	-2,106	0,512	-3,34	-1,982	-1,358	-0,423
Nudt17	10	-0,244	-0,289	0,045	-1,194	-0,303	-0,891	-0,423
Hcrtr1	10	-0,03	0,192	-0,222	-0,566	0,058	-0,624	-0,423
Nfkb2	10	-1,273	-0,883	-0,39	-1,78	-1,324	-0,456	-0,423
Tpp1	8	0,344	0,274	0,07	-0,728	0,187	-0,915	-0,4225
Tmco5	9	-0,014	0,176	-0,19	-0,596	0,059	-0,655	-0,4225
Galnt10	10	-0,247	-0,016	-0,231	0,007	0,621	-0,614	-0,4225
Adssl1	10	-1,103	-0,858	-0,245	-1,365	-0,765	-0,6	-0,4225
Klf1	10	-1,283	-1,101	-0,182	-1,794	-1,131	-0,663	-0,4225
Slc22a28	9	-0,037	0,063	-0,1	-0,823	-0,078	-0,745	-0,4225
Atr	9	-5,369	-5,177	-0,192	-5,982	-5,33	-0,652	-0,422
Icam1	10	-1,06	-0,835	-0,225	-1,618	-0,999	-0,619	-0,422
Pigg	9	0,05	0,084	-0,034	-0,514	0,296	-0,81	-0,422
Man2b1	8	-0,336	-0,024	-0,312	-0,75	-0,218	-0,532	-0,422
Mettl7a1	9	-0,083	0,383	-0,466	-0,164	0,213	-0,377	-0,4215
Sirt2	9	-0,864	-0,757	-0,107	-1,595	-0,859	-0,736	-0,4215
Tspan14	9	-0,018	0,323	-0,341	-0,255	0,247	-0,502	-0,4215
Katnb1	9	-0,229	-0,163	-0,066	-0,72	0,057	-0,777	-0,4215
Rom1	10	-0,773	-0,059	-0,714	-0,817	-0,688	-0,129	-0,4215
Fam45a	9	-0,152	0,103	-0,255	-0,537	0,05	-0,587	-0,421
Cenpu	9	-2,458	-2,324	-0,134	-3,163	-2,455	-0,708	-0,421
Dbi	10	-0,005	0,227	-0,232	-0,389	0,221	-0,61	-0,421
Sorcs3	10	0,024	-0,183	0,207	-1,044	0,005	-1,049	-0,421
Pik3r3	10	0,253	0,403	-0,15	-0,342	0,349	-0,691	-0,4205
Ctnna3	10	0,18	0,311	-0,131	-0,272	0,438	-0,71	-0,4205
Fam73a	9	0,461	0,431	0,03	-0,767	0,104	-0,871	-0,4205
Fbxo11	10	0,491	0,572	-0,081	0,18	0,94	-0,76	-0,4205
Atp5b	10	-4,27	-3,573	-0,697	-4,706	-4,562	-0,144	-0,4205
Huwe1	9	-2,404	-1,904	-0,5	-3,341	-3,001	-0,34	-0,42
Bub1	10	-3,169	-3,157	-0,012	-4,203	-3,376	-0,827	-0,4195
Rtdr1	9	-0,023	0,256	-0,279	-0,332	0,228	-0,56	-0,4195
Chmp2b	8	0,362	0,521	-0,159	-0,234	0,446	-0,68	-0,4195
Golga3	9	-0,382	-0,551	0,169	-1,61	-0,602	-1,008	-0,4195
Lin9	9	-2,889	-2,274	-0,615	-3,305	-3,081	-0,224	-0,4195
4933406J08Rik	9	0,119	0,321	-0,202	-0,401	0,235	-0,636	-0,419
Hoxc6	10	0,096	0,221	-0,125	-0,557	0,156	-0,713	-0,419
Gp6	10	-0,663	-0,597	-0,066	-1,036	-0,264	-0,772	-0,419
Pigk	10	-0,67	-0,628	-0,042	-1,17	-0,374	-0,796	-0,419
Spata19	9	0,433	0,331	0,102	-0,707	0,233	-0,94	-0,419
Negr1	10	-0,291	0,248	-0,539	-0,397	-0,098	-0,299	-0,419
Ptov1	9	-0,479	0,144	-0,623	-0,384	-0,169	-0,215	-0,419
Zyg11b	6	0,091	0,435	-0,344	-0,307	0,187	-0,494	-0,419
Nat1	10	-0,16	0,152	-0,312	-0,53	-0,005	-0,525	-0,4185
Mycbp	10	0,055	0,335	-0,28	-0,265	0,292	-0,557	-0,4185
Ssxb9	9	-1,304	-1,136	-0,168	-1,892	-1,223	-0,669	-0,4185
Chst12	8	-0,266	-0,525	0,259	-1,453	-0,358	-1,095	-0,418
Cst3	9	-0,522	0,288	-0,81	-0,598	-0,572	-0,026	-0,418
Klkb1	9	-0,12	-0,218	0,098	-0,753	0,181	-0,934	-0,418
