Gene 1	Gene 2	Group 1	Group 2	Source	SynLet q-value	Buffer q-value
BCL2A1	MAPK1	Apop	Mapk	OVCAR8	0.935162819	1
BCL2A1	MAP2K1	Apop	Mapk	OVCAR8	0.936601361	1
BCL2A1	MAP2K2	Apop	Mapk	OVCAR8	0.936601361	1
BCL2A1	PARP1	Apop	BrPa	A375	0.940654455	1
BCL2A1	HSP90AA1	Apop	Predict	OVCAR8	0.954112568	1
BCL2	BCL2	Apop	Apop	786O	1	0.060321429
BCL2L1	BCL2L1	Apop	Apop	no 786O	1	0.0001
BCL2L1	BCL2L1	Apop	Apop	no A375	1	0.0001
BCL2L1	BCL2L1	Apop	Apop	no A549	1	0.0001
BCL2L1	BCL2L1	Apop	Apop	no HT29	1	0.0001
BCL2L1	BCL2L1	Apop	Apop	no Meljuso	1	0.0001
BCL2L1	BCL2L1	Apop	Apop	no OVCAR8	1	0.0001
BCL2A1	BCL2L1	Apop	Apop	All 6	1	0.79115978
BCL2L1	WEE1	Apop	Predict	no HT29	1	0.001238095
BCL2L1	EEF2	Apop	Ctrl	no A375	1	0.0045
BCL2L1	MTOR	Apop	Predict	no A549	1	0.005428571
BCL2L1	EEF2	Apop	Ctrl	All 6	1	0.005888889
BCL2L1	EEF2	Apop	Ctrl	no Meljuso	1	0.007821429
BCL2L1	EEF2	Apop	Ctrl	no OVCAR8	1	0.008
BCL2L1	EEF2	Apop	Ctrl	no A549	1	0.00953125
BCL2L1	WEE1	Apop	Predict	no 786O	1	0.024235294
BCL2L1	EEF2	Apop	Ctrl	no HT29	1	0.024909091
BCL2L1	EEF2	Apop	Ctrl	no 786O	1	0.028846154
BCL2L1	MTOR	Apop	Predict	no Meljuso	1	0.030857143
BCL2L1	WEE1	Apop	Predict	All 6	1	0.034596154
BCL2L1	CHEK1	Apop	Predict	no A549	1	0.040611111
BCL2L1	MTOR	Apop	Predict	All 6	1	0.043714286
BCL2L1	BRCA1	Apop	BrPa	no Meljuso	1	0.054038462
BCL2L1	BRCA1	Apop	BrPa	All 6	1	0.055403226
BCL2L1	WEE1	Apop	Predict	no A549	1	0.062765625
BCL2L1	MTOR	Apop	Predict	no A375	1	0.06838
BCL2L1	MAP2K2	Apop	Mapk	no Meljuso	1	0.084491803
BCL2L1	CHEK1	Apop	Predict	no Meljuso	1	0.08615625
BCL2L1	BRCA1	Apop	BrPa	no 786O	1	0.086380952
BCL2L1	BRCA1	Apop	BrPa	no OVCAR8	1	0.097929825
BCL2L1	BRCA1	Apop	BrPa	no A375	1	0.102109091
BCL2L1	CHEK1	Apop	Predict	All 6	1	0.102842105
BCL2L1	MAP2K2	Apop	Mapk	All 6	1	0.132639535
BCL2L1	BRCA1	Apop	BrPa	no HT29	1	0.137621951
BCL2L1	CHEK2	Apop	Predict	no 786O	1	0.142034884
BCL2L1	BRCA1	Apop	BrPa	no A549	1	0.146865854
BCL2L1	MAP2K2	Apop	Mapk	no HT29	1	0.15123913
BCL2L1	WEE1	Apop	Predict	no A375	1	0.157655738
BCL2L1	MAP2K2	Apop	Mapk	no A375	1	0.161492308
BCL2L1	MTOR	Apop	Predict	no HT29	1	0.1783
BCL2L1	WEE1	Apop	Predict	no OVCAR8	1	0.182168675
BCL2L1	MTOR	Apop	Predict	no 786O	1	0.19327551
BCL2L1	CHEK1	Apop	Predict	no HT29	1	0.195709091
BCL2L1	MTOR	Apop	Predict	no OVCAR8	1	0.238918367
BCL2L1	UBC	Apop	Red	no 786O	1	0.241592
BCL2L1	CHEK1	Apop	Predict	no 786O	1	0.245309524
BCL2L1	MAP2K2	Apop	Mapk	no OVCAR8	1	0.253333333
BCL2L1	UBB	Apop	Red	no A549	1	0.258892857
BCL2L1	PARP2	Apop	BrPa	no OVCAR8	1	0.265942857
BCL2L1	MAP2K2	Apop	Mapk	no A549	1	0.270172131
BCL2L1	CHEK2	Apop	Predict	All 6	1	0.273268456
BCL2L1	CHEK2	Apop	Predict	no A549	1	0.274292308
BCL2L1	PARP2	Apop	BrPa	no Meljuso	1	0.277386555
BCL2L1	PARP2	Apop	BrPa	All 6	1	0.285490066
BCL2L1	UBC	Apop	Red	All 6	1	0.293746753
BCL2L1	MAP2K2	Apop	Mapk	no 786O	1	0.3093125
BCL2L1	CHEK1	Apop	Predict	no A375	1	0.321964286
BCL2L1	PARP2	Apop	BrPa	no 786O	1	0.331982143
BCL2L1	PARP2	Apop	BrPa	no A549	1	0.335821429
BCL2L1	UBC	Apop	Red	no A375	1	0.34175
BCL2L1	WEE1	Apop	Predict	no Meljuso	1	0.343620438
BCL2L1	UBC	Apop	Red	no Meljuso	1	0.351943262
BCL2L1	CHEK2	Apop	Predict	no HT29	1	0.373482517
BCL2L1	AKT2	Apop	AKT	no A549	1	0.380965517
BCL2L1	CHEK2	Apop	Predict	no OVCAR8	1	0.395536145
BCL2L1	MAP2K1	Apop	Mapk	no 786O	1	0.410545455
BCL2L1	UBC	Apop	Red	no A549	1	0.415359788
BCL2L1	CHEK1	Apop	Predict	no OVCAR8	1	0.419190751
BCL2L1	MAP2K1	Apop	Mapk	no A549	1	0.425728643
BCL2L1	UBC	Apop	Red	no HT29	1	0.459785714
BCL2L1	PARP2	Apop	BrPa	no A375	1	0.463717949
BCL2L1	CHEK2	Apop	Predict	no Meljuso	1	0.469905759
BCL2L1	UBB	Apop	Red	no Meljuso	1	0.483242424
BCL2L1	UBC	Apop	Red	no OVCAR8	1	0.496705
BCL2L1	UBB	Apop	Red	All 6	1	0.507934272
BCL2L1	UBB	Apop	Red	no 786O	1	0.556525735
BCL2L1	CHEK2	Apop	Predict	no A375	1	0.560591837
BCL2L1	MAPK1	Apop	Mapk	no Meljuso	1	0.564221277
BCL2L1	PARP2	Apop	BrPa	no HT29	1	0.585146718
BCL2L1	BCL2A1	Apop	Apop	no HT29	1	0.586215385
BCL2L1	UBB	Apop	Red	no HT29	1	0.598353383
BCL2L1	MAP2K1	Apop	Mapk	no Meljuso	1	0.602838583
BCL2L1	MAP2K1	Apop	Mapk	All 6	1	0.611061594
BCL2L1	BCL2A1	Apop	Apop	no 786O	1	0.662228296
BCL2L1	AKT2	Apop	AKT	All 6	1	0.663464646
BCL2L1	HPRT intron	Apop	Ctrl	no 786O	1	0.67440566
BCL2L1	AKT2	Apop	AKT	no OVCAR8	1	0.676923875
BCL2L1	UBB	Apop	Red	no OVCAR8	1	0.681910959
BCL2L1	AKT1	Apop	AKT	no HT29	1	0.698363636
BCL2L1	UBB	Apop	Red	no A375	1	0.705259259
BCL2L1	HPRT intron	Apop	Ctrl	no HT29	1	0.751555556
BCL2L1	BCL2A1	Apop	Apop	no A549	1	0.75630897
BCL2L1	AKT2	Apop	AKT	no A375	1	0.756383275
BCL2L1	MAP2K1	Apop	Mapk	no A375	1	0.781925566
BCL2L1	MAPK3	Apop	Mapk	no 786O	1	0.788316239
BCL2L1	BCL2A1	Apop	Apop	All 6	1	0.79115978
BCL2L1	AKT2	Apop	AKT	no Meljuso	1	0.797848571
BCL2L1	AKT2	Apop	AKT	no HT29	1	0.829810811
BCL2L1	HPRT intron	Apop	Ctrl	no A549	1	0.863809524
BCL2L1	HPRT intron	Apop	Ctrl	All 6	1	0.875462312
BCL2L1	MAP2K1	Apop	Mapk	no HT29	1	0.91724878
BCL2L1	AKT2	Apop	AKT	no 786O	1	0.917263658
BCL2L1	AKT1	Apop	AKT	no OVCAR8	1	0.921867684
BCL2L1	MAPK1	Apop	Mapk	All 6	1	0.926875598
BCL2L1	MAP2K1	Apop	Mapk	no OVCAR8	1	0.932692695
BCL2L1	HPRT intron	Apop	Ctrl	no OVCAR8	1	0.932906863
BCL2L1	BCL2A1	Apop	Apop	no A375	1	0.943753247
BCL2L1	MAPK1	Apop	Mapk	no OVCAR8	1	0.957273585
BCL2L1	BCL2A1	Apop	Apop	no OVCAR8	1	0.9838125
BCL2L1	BRCA2	Apop	BrPa	no 786O	1	0.989877778
BCL2L1	MAPK1	Apop	Mapk	no A549	1	0.989986014
BCL2L1	AKT1	Apop	AKT	All 6	1	0.995343249
BCL2A1	BCL2L10	Apop	Apop	All 6	1	1
BCL2L1	CD81	Apop	Ctrl	All 6	1	1
BCL2L1	BRCA2	Apop	BrPa	All 6	1	1
BCL2L1	BCL2L2	Apop	Apop	no 786O	0.0001	1
BCL2L1	MCL1	Apop	Apop	no 786O	0.0001	1
BCL2L1	BCL2L2	Apop	Apop	no A375	0.0001	1
BCL2L1	MCL1	Apop	Apop	no A375	0.0001	1
BCL2L1	BCL2L2	Apop	Apop	no A549	0.0001	1
BCL2L1	MCL1	Apop	Apop	no A549	0.0001	1
BCL2L1	BCL2L2	Apop	Apop	no HT29	0.0001	1
BCL2L1	MCL1	Apop	Apop	no HT29	0.0001	1
BCL2L1	BCL2L2	Apop	Apop	no Meljuso	0.0001	1
BCL2L1	MCL1	Apop	Apop	no Meljuso	0.0001	1
BCL2L1	BCL2L2	Apop	Apop	no OVCAR8	0.0001	1
BCL2L1	MCL1	Apop	Apop	no OVCAR8	0.0001	1
BCL2L1	BCL2	Apop	Apop	no HT29	0.010333333	1
BCL2L1	MAPK3	Apop	Mapk	All 6	1	1
BCL2L1	BCL2	Apop	Apop	no A549	0.051657895	1
BCL2L1	BCL2	Apop	Apop	no OVCAR8	0.077860465	1
BCL2L1	BCL2	Apop	Apop	no 786O	0.110117647	1
BCL2L1	HSP90AA1	Apop	Predict	no 786O	0.119948276	1
BCL2L1	BCL2	Apop	Apop	no A375	0.146766667	1
BCL2L1	AKT3	Apop	AKT	no A375	0.149967213	1
BCL2L1	AKT3	Apop	AKT	no Meljuso	0.164486486	1
BCL2L1	AKT3	Apop	AKT	no A549	0.190113402	1
BCL2L1	HSP90AA1	Apop	Predict	no A549	0.190113402	1
BCL2L1	AKT3	Apop	AKT	no HT29	0.282021277	1
BCL2L1	HSP90AA1	Apop	Predict	no Meljuso	0.286194444	1
BCL2L1	HSP90AA1	Apop	Predict	no OVCAR8	0.325695313	1
BCL2L1	PARP1	Apop	BrPa	no 786O	0.344434211	1
BCL2L1	HSP90AA1	Apop	Predict	no HT29	0.346578512	1
BCL2L1	IMPDH1	Apop	Predict	no A549	0.431269841	1
BCL2L1	AKT3	Apop	AKT	no 786O	0.537792079	1
BCL2L1	HSP90AA1	Apop	Predict	no A375	0.559731429	1
BCL2L1	AKT3	Apop	AKT	no OVCAR8	0.57093722	1
BCL2L1	6T	Apop	Ctrl	no A549	0.615091912	1
BCL2L1	6T	Apop	Ctrl	no HT29	0.629356828	1
BCL2L1	6T	Apop	Ctrl	no 786O	0.648409894	1
BCL2L1	IMPDH1	Apop	Predict	no OVCAR8	0.708239437	1
BCL2L1	PARP1	Apop	BrPa	no HT29	0.74336014	1
BCL2L1	6T	Apop	Ctrl	no Meljuso	0.74540678	1
BCL2L1	BCL2	Apop	Apop	no Meljuso	0.74540678	1
BCL2L1	MAPK3	Apop	Mapk	no A549	0.772345238	1
BCL2L1	IMPDH1	Apop	Predict	no Meljuso	0.789115625	1
BCL2L1	PARP1	Apop	BrPa	All 6	0.938093671	1
BCL2L1	BCL2L10	Apop	Apop	no HT29	0.824272171	1
BCL2L1	IMPDH1	Apop	Predict	no A375	0.832167192	1
BCL2L1	6T	Apop	Ctrl	no OVCAR8	0.896322314	1
BCL2L1	6T	Apop	Ctrl	no A375	0.955375	1
BCL2L1	BCL2L10	Apop	Apop	no OVCAR8	0.972418605	1
BCL2L1	IMPDH1	Apop	Predict	All 6	0.787877493	1
BCL2L1	AKT1	Apop	AKT	no 786O	1	1
BCL2L1	BCL2L10	Apop	Apop	no 786O	1	1
BCL2L1	CD81	Apop	Ctrl	no 786O	1	1
BCL2L1	IMPDH1	Apop	Predict	no 786O	1	1
BCL2L1	MAPK1	Apop	Mapk	no 786O	1	1
BCL2L1	6T	Apop	Ctrl	All 6	0.711964052	1
BCL2L1	AKT1	Apop	AKT	no A375	1	1
BCL2L1	BCL2L10	Apop	Apop	no A375	1	1
BCL2L1	BRCA2	Apop	BrPa	no A375	1	1
BCL2L1	CD81	Apop	Ctrl	no A375	1	1
BCL2L1	HPRT intron	Apop	Ctrl	no A375	1	1
BCL2L1	MAPK1	Apop	Mapk	no A375	1	1
BCL2L1	MAPK3	Apop	Mapk	no A375	1	1
BCL2L1	PARP1	Apop	BrPa	no A375	1	1
BCL2L1	AKT1	Apop	AKT	no A549	1	1
BCL2L1	BCL2L10	Apop	Apop	no A549	1	1
BCL2L1	BRCA2	Apop	BrPa	no A549	1	1
BCL2L1	CD81	Apop	Ctrl	no A549	1	1
BCL2L1	PARP1	Apop	BrPa	no A549	1	1
BCL2L1	BRCA2	Apop	BrPa	no HT29	1	1
BCL2L1	CD81	Apop	Ctrl	no HT29	1	1
BCL2L1	IMPDH1	Apop	Predict	no HT29	1	1
BCL2L1	MAPK1	Apop	Mapk	no HT29	1	1
BCL2L1	MAPK3	Apop	Mapk	no HT29	1	1
BCL2L1	AKT1	Apop	AKT	no Meljuso	1	1
BCL2L1	BCL2A1	Apop	Apop	no Meljuso	1	1
BCL2L1	BCL2L10	Apop	Apop	no Meljuso	1	1
BCL2L1	BRCA2	Apop	BrPa	no Meljuso	1	1
BCL2L1	CD81	Apop	Ctrl	no Meljuso	1	1
BCL2L1	HPRT intron	Apop	Ctrl	no Meljuso	1	1
BCL2L1	MAPK3	Apop	Mapk	no Meljuso	1	1
BCL2L1	PARP1	Apop	BrPa	no Meljuso	1	1
BCL2L1	AKT3	Apop	AKT	All 6	0.222415094	1
BCL2L1	HSP90AA1	Apop	Predict	All 6	0.213417476	1
BCL2L1	BCL2	Apop	Apop	All 6	0.06476	1
BCL2L1	BRCA2	Apop	BrPa	no OVCAR8	1	1
BCL2L1	CD81	Apop	Ctrl	no OVCAR8	1	1
BCL2L1	MAPK3	Apop	Mapk	no OVCAR8	1	1
BCL2L1	PARP1	Apop	BrPa	no OVCAR8	1	1
BCL2A1	MCL1	Apop	Apop	All 6	1	1
BCL2L1	BCL2L1	Apop	Apop	All 6	1	0.0001
BCL2	BCL2	Apop	Apop	HT29	1	0.187244186
BCL2	BCL2	Apop	Apop	A375	1	0.195581633
BCL2	BCL2A1	Apop	Apop	Meljuso	1	0.380168902
BCL2	BCL2	Apop	Apop	OVCAR8	1	0.432345238
BCL2	BCL2A1	Apop	Apop	OVCAR8	1	0.612205433
BCL2L1	WEE1	Apop	Predict	Meljuso	1	0.007217857
BCL2L1	MTOR	Apop	Predict	OVCAR8	1	0.030644444
BCL2L1	MAPK3	Apop	Mapk	A549	1	0.05680291
BCL2L1	WEE1	Apop	Predict	OVCAR8	1	0.071112179
BCL2L1	MTOR	Apop	Predict	786O	1	0.1148125
BCL2L1	MTOR	Apop	Predict	HT29	1	0.146727756
BCL2L1	CHEK1	Apop	Predict	OVCAR8	1	0.152739192
BCL2L1	EEF2	Apop	Ctrl	786O	1	0.169591146
BCL2L1	EEF2	Apop	Ctrl	HT29	1	0.170024439
BCL2L1	CHEK2	Apop	Predict	A375	1	0.180127976
BCL2L1	EEF2	Apop	Ctrl	A549	1	0.212250992
BCL2L1	MAP2K2	Apop	Mapk	786O	1	0.212952951
BCL2L1	WEE1	Apop	Predict	A375	1	0.22635915
BCL2	BCL2L1	Apop	Apop	All 6	0.06476	1
BCL2L1	BRCA1	Apop	BrPa	HT29	1	0.241931836
BCL2L1	CHEK1	Apop	Predict	A375	1	0.257395776
BCL2L1	PARP2	Apop	BrPa	HT29	1	0.264610522
BCL2L1	PARP1	Apop	BrPa	786O	1	0.311114048
BCL2L1	BRCA1	Apop	BrPa	A549	1	0.355473453
BCL2L1	MAP2K1	Apop	Mapk	OVCAR8	1	0.356463188
BCL2L1	MAP2K2	Apop	Mapk	OVCAR8	1	0.374516266
BCL2L1	MAP2K2	Apop	Mapk	A549	1	0.380448883
BCL2L1	UBB	Apop	Red	A375	1	0.396380537
BCL2L1	WEE1	Apop	Predict	A549	1	0.426954518
BCL2L1	UBB	Apop	Red	OVCAR8	1	0.432549257
BCL2L1	AKT2	Apop	AKT	786O	1	0.43777013
BCL2L1	PARP2	Apop	BrPa	A375	1	0.472987637
BCL2L1	BCL2A1	Apop	Apop	OVCAR8	1	0.487998864
BCL2L1	CHEK1	Apop	Predict	HT29	1	0.49467477
BCL2L1	BRCA1	Apop	BrPa	A375	1	0.51957278
BCL2L1	UBC	Apop	Red	HT29	1	0.535828789
BCL2L1	MAP2K1	Apop	Mapk	HT29	1	0.549065393
BCL2L1	AKT1	Apop	AKT	A375	1	0.550738701
BCL2L1	CHEK1	Apop	Predict	786O	1	0.553056516
BCL2L1	CHEK2	Apop	Predict	Meljuso	1	0.561487012
BCL2L1	BRCA1	Apop	BrPa	786O	1	0.562365445
BCL2L1	EEF2	Apop	Ctrl	A375	1	0.56952565
BCL2L1	MAP2K2	Apop	Mapk	HT29	1	0.576921981
BCL2L1	UBC	Apop	Red	OVCAR8	1	0.598664405
BCL2L1	AKT1	Apop	AKT	A549	1	0.599926926
BCL2L1	MAPK1	Apop	Mapk	786O	1	0.608955046
BCL2L1	UBC	Apop	Red	A549	1	0.610656409
BCL2L1	UBB	Apop	Red	HT29	1	0.616662013
BCL2L1	BCL2A1	Apop	Apop	A375	1	0.628637904
BCL2L1	CHEK2	Apop	Predict	HT29	1	0.630770011
BCL2L1	EEF2	Apop	Ctrl	Meljuso	1	0.648632664
BCL2L1	HPRT intron	Apop	Ctrl	A375	1	0.651664713
BCL2L1	BCL2	Apop	Apop	HT29	1	0.651736256
BCL2L1	AKT2	Apop	AKT	HT29	1	0.659069303
BCL2L1	PARP2	Apop	BrPa	A549	1	0.664523245
BCL2L1	CHEK2	Apop	Predict	OVCAR8	1	0.664675029
BCL2L1	EEF2	Apop	Ctrl	OVCAR8	1	0.684828766
BCL2L1	AKT3	Apop	AKT	A375	1	0.684852249
BCL2L1	BCL2A1	Apop	Apop	Meljuso	1	0.694023039
BCL2L1	BRCA2	Apop	BrPa	A375	1	0.708013296
BCL2L1	BRCA1	Apop	BrPa	OVCAR8	1	0.708262037
BCL2L1	MAPK1	Apop	Mapk	A549	1	0.735984416
BCL2L1	AKT3	Apop	AKT	Meljuso	1	0.755969985
BCL2L1	MAPK3	Apop	Mapk	OVCAR8	0.986317308	0.77330743
BCL2L1	CD81	Apop	Ctrl	OVCAR8	1	0.775221124
BCL2L1	PARP2	Apop	BrPa	OVCAR8	0.976266667	0.795756667
BCL2L1	AKT2	Apop	AKT	Meljuso	1	0.797280709
BCL2L1	UBB	Apop	Red	786O	1	0.802154219
BCL2L1	PARP2	Apop	BrPa	786O	1	0.805614681
BCL2L1	BRCA2	Apop	BrPa	HT29	0.96839486	0.806790323
BCL2L1	HPRT intron	Apop	Ctrl	OVCAR8	1	0.814702223
BCL2L1	MTOR	Apop	Predict	A375	1	0.820465619
BCL2L1	UBB	Apop	Red	Meljuso	1	0.821644181
BCL2L1	CD81	Apop	Ctrl	A375	0.996150114	0.823054217
BCL2L1	MAPK1	Apop	Mapk	OVCAR8	1	0.834816271
BCL2	BCL2L2	Apop	Apop	HT29	1	0.673173507
BCL2L1	6T	Apop	Ctrl	HT29	1	0.845302825
BCL2L1	AKT1	Apop	AKT	786O	1	0.847317102
BCL2L1	IMPDH1	Apop	Predict	A549	1	0.861283731
BCL2L1	HPRT intron	Apop	Ctrl	Meljuso	0.985311111	0.862657534
BCL2L1	MAPK1	Apop	Mapk	A375	0.981294554	0.866892986
BCL2L1	WEE1	Apop	Predict	786O	1	0.87048006
BCL2L1	CHEK2	Apop	Predict	A549	1	0.878433949
BCL2L1	MAP2K1	Apop	Mapk	A375	0.911333333	0.888841503
BCL2L1	PARP1	Apop	BrPa	HT29	0.937168218	0.890128109
BCL2L1	UBC	Apop	Red	Meljuso	1	0.890259688
BCL2L1	MTOR	Apop	Predict	Meljuso	1	0.900946907
BCL2	BCL2L2	Apop	Apop	786O	1	0.842718081
BCL2L1	BRCA2	Apop	BrPa	A549	0.999571839	0.901742439
BCL2L1	AKT2	Apop	AKT	OVCAR8	0.960334694	0.902540493
BCL2L1	CD81	Apop	Ctrl	A549	0.987768856	0.923452465
BCL2L1	CHEK1	Apop	Predict	Meljuso	0.90571129	0.924829545
BCL2L1	HSP90AA1	Apop	Predict	786O	1	0.928460612
BCL2L1	IMPDH1	Apop	Predict	Meljuso	0.98942161	0.93231262
BCL2L1	MAP2K1	Apop	Mapk	Meljuso	0.918909763	0.932350144
BCL2L1	MAPK1	Apop	Mapk	HT29	1	0.940694321
BCL2L1	AKT1	Apop	AKT	OVCAR8	0.976266667	0.940727376
BCL2L1	UBB	Apop	Red	A549	0.829240066	0.946062295
BCL2L1	AKT2	Apop	AKT	A375	0.981100998	0.951810345
BCL2L1	BRCA2	Apop	BrPa	Meljuso	0.929639447	0.952359459
BCL2L1	AKT1	Apop	AKT	Meljuso	0.9321875	0.953775538
BCL2	BCL2L10	Apop	Apop	Meljuso	1	0.876133015
BCL2	BCL2L2	Apop	Apop	OVCAR8	1	0.914767368
BCL2L1	IMPDH1	Apop	Predict	OVCAR8	0.960334694	0.959586988
BCL2L1	BRCA1	Apop	BrPa	Meljuso	0.9321875	0.964391383
BCL2L1	CD81	Apop	Ctrl	Meljuso	1	0.966747758
BCL2L1	CD81	Apop	Ctrl	HT29	0.933823782	0.967066787
BCL2L1	BCL2A1	Apop	Apop	786O	0.903121339	0.971544913
BCL2L1	IMPDH1	Apop	Predict	A375	0.860852594	0.972149611
BCL2L1	6T	Apop	Ctrl	786O	0.842104317	0.973530325
BCL2L1	BRCA2	Apop	BrPa	OVCAR8	0.960334694	0.974608724
BCL2L1	HPRT intron	Apop	Ctrl	786O	0.889227387	0.975797047
BCL2L1	CHEK2	Apop	Predict	786O	0.912772	0.975797047
BCL2L1	UBC	Apop	Red	786O	0.972310811	0.975797047
BCL2L1	AKT3	Apop	AKT	A549	0.981932107	0.981561381
BCL2L1	6T	Apop	Ctrl	Meljuso	0.968328853	0.987043831
BCL2L1	HPRT intron	Apop	Ctrl	A549	0.963900899	0.997546318
BCL2L1	AKT3	Apop	AKT	786O	0.234410714	0.999987515
BCL2L1	IMPDH1	Apop	Predict	786O	0.649732606	0.999987515
BCL2L1	BCL2	Apop	Apop	786O	0.674030337	0.999987515
BCL2L1	MAPK3	Apop	Mapk	786O	0.682086951	0.999987515
BCL2	BCL2L10	Apop	Apop	786O	1	0.925595836
BCL2L1	CD81	Apop	Ctrl	786O	0.733751817	0.999987515
BCL2L1	MAP2K1	Apop	Mapk	786O	0.798254988	0.999987515
BCL2L1	BRCA2	Apop	BrPa	786O	0.80321887	0.999987515
BCL2	MCL1	Apop	Apop	All 6	0.302593985	1
BCL2A1	BCL2A1	Apop	Apop	HT29	1	0.0001
BCL2A1	BCL2A1	Apop	Apop	Meljuso	1	0.003785714
BCL2A1	BCL2A1	Apop	Apop	A549	1	0.024735294
BCL2A1	BCL2A1	Apop	Apop	786O	1	0.073131579
BCL2A1	BCL2A1	Apop	Apop	A375	1	0.244944444
BCL2A1	BCL2A1	Apop	Apop	OVCAR8	1	0.291583333
BCL2A1	BCL2L2	Apop	Apop	786O	1	0.371610499
BCL2A1	BCL2L2	Apop	Apop	A549	1	0.435816349
BCL2L1	BCL2	Apop	Apop	Meljuso	0.0008	1
BCL2A1	BCL2L1	Apop	Apop	OVCAR8	1	0.487998864
BCL2L1	AKT3	Apop	AKT	OVCAR8	0.094586623	1
BCL2L1	MAPK1	Apop	Mapk	Meljuso	0.211372306	1
BCL2L1	PARP1	Apop	BrPa	A375	0.275679714	1
BCL2L1	HSP90AA1	Apop	Predict	A375	0.30731622	1
BCL2A1	BCL2L1	Apop	Apop	A375	1	0.628637904
BCL2L1	IMPDH1	Apop	Predict	HT29	0.350940909	1
BCL2L1	6T	Apop	Ctrl	A375	0.406954141	1
BCL2L1	WEE1	Apop	Predict	HT29	0.412237288	1
BCL2L1	BCL2	Apop	Apop	A375	0.509765284	1
BCL2L1	BCL2	Apop	Apop	A549	0.547896651	1
BCL2L1	MAPK3	Apop	Mapk	A375	0.551463431	1
BCL2L1	6T	Apop	Ctrl	A549	0.568744697	1
BCL2L1	6T	Apop	Ctrl	OVCAR8	0.597822896	1
BCL2L1	AKT2	Apop	AKT	A549	0.610005711	1
BCL2L1	HSP90AA1	Apop	Predict	HT29	0.628840838	1
BCL2L1	PARP1	Apop	BrPa	OVCAR8	0.664652261	1
BCL2A1	BCL2L1	Apop	Apop	Meljuso	1	0.694023039
BCL2L1	HSP90AA1	Apop	Predict	OVCAR8	0.723999732	1
BCL2L1	PARP1	Apop	BrPa	A549	0.742442672	1
BCL2L1	AKT3	Apop	AKT	HT29	0.754733798	1
BCL2L1	CHEK1	Apop	Predict	A549	0.759503001	1
BCL2L1	PARP1	Apop	BrPa	Meljuso	0.766195472	1
BCL2L1	AKT1	Apop	AKT	HT29	0.766298011	1
BCL2L1	MAP2K2	Apop	Mapk	Meljuso	0.792796281	1
BCL2L1	HSP90AA1	Apop	Predict	A549	0.795947727	1
BCL2L1	MTOR	Apop	Predict	A549	0.807910907	1
BCL2L1	MAPK3	Apop	Mapk	Meljuso	0.861826947	1
BCL2L1	HSP90AA1	Apop	Predict	Meljuso	0.864375	1
BCL2L1	BCL2A1	Apop	Apop	HT29	0.864444073	1
BCL2L1	HPRT intron	Apop	Ctrl	HT29	0.870992	1
BCL2A1	BCL2L2	Apop	Apop	Meljuso	1	0.729467301
BCL2L1	BCL2	Apop	Apop	OVCAR8	0.874527607	1
BCL2L1	MAP2K2	Apop	Mapk	A375	0.88304383	1
BCL2L1	UBC	Apop	Red	A375	0.891640151	1
BCL2L1	MAPK3	Apop	Mapk	HT29	0.912305762	1
BCL2L1	MAP2K1	Apop	Mapk	A549	0.916690042	1
BCL2L1	PARP2	Apop	BrPa	Meljuso	0.950250728	1
BCL2L1	BCL2A1	Apop	Apop	A549	0.987533997	1
BCL2L10	BCL2L10	Apop	Apop	no A375	1	0.0281
BCL2L10	BCL2L10	Apop	Apop	no Meljuso	1	0.054038462
BCL2L10	BCL2L10	Apop	Apop	no 786O	1	0.073283019
BCL2L10	PARP1	Apop	BrPa	no A549	1	0.093197368
BCL2L1	BCL2L10	Apop	Apop	All 6	1	1
BCL2L10	PARP1	Apop	BrPa	All 6	1	0.193036697
BCL2L10	BCL2L10	Apop	Apop	no OVCAR8	1	0.231531915
BCL2L10	PARP1	Apop	BrPa	no 786O	1	0.23341129
BCL2L10	BCL2L10	Apop	Apop	no A549	1	0.300073333
BCL2L10	PARP1	Apop	BrPa	no Meljuso	1	0.332285714
BCL2L10	PARP1	Apop	BrPa	no OVCAR8	1	0.365575163
BCL2L10	PARP1	Apop	BrPa	no HT29	1	0.370528169
BCL2L10	PARP1	Apop	BrPa	no A375	1	0.390697674
BCL2L10	BCL2L2	Apop	Apop	no HT29	1	0.459785714
BCL2L10	CHEK1	Apop	Predict	no HT29	1	0.528546256
BCL2L10	BCL2L2	Apop	Apop	no 786O	1	0.574185053
BCL2L10	BCL2L2	Apop	Apop	no Meljuso	1	0.64718315
BCL2L10	BCL2L10	Apop	Apop	All 6	1	0.11685
BCL2L10	UBC	Apop	Red	no 786O	1	0.670249201
BCL2L10	UBC	Apop	Red	no HT29	1	0.698645485
BCL2L10	AKT1	Apop	AKT	no HT29	1	0.735389881
BCL2L10	BCL2L10	Apop	Apop	no HT29	1	0.735389881
BCL2L10	UBC	Apop	Red	All 6	1	0.747953623
BCL2L10	UBC	Apop	Red	no Meljuso	1	0.750722892
BCL2L10	CHEK1	Apop	Predict	no A375	1	0.7724
BCL2L10	UBC	Apop	Red	no A375	1	0.781925566
BCL2L10	BCL2L2	Apop	Apop	no A375	1	0.781925566
BCL2L10	CHEK1	Apop	Predict	All 6	1	0.79115978
BCL2L10	UBC	Apop	Red	no A549	1	0.803
