Gene_Pair	GeneA y Phenotype	GeneB y Phenotype	"GeneAB Observed y Phenotype"	GeneAB RawGI	GeneAB NormGI	GeneAB GIT score	GeneAB GIM score	"Correlation of GI profiles (GIT score)"	"Correlation of GI profiles (GIM score)"	q-values based on GIM score
GCK__NPR1	0,031	-1,211	-1,319	-0,129	-0,249	-1,172	-0,804	0,180	0,187	0,267790818
ADRBK1__CIT	-0,953	-4,565	-5,743	-0,192	-0,247	-1,172	-0,715	0,066	0,086	0,28760035
ERBB4__XPO1	-0,217	-11,396	-11,360	-0,649	-0,432	-1,170	-0,986	0,009	0,031	0,232474045
LCK__PRKAB1	-2,887	-0,227	-3,310	-0,149	-0,234	-1,170	-1,288	-0,055	-0,025	0,179888552
KCNA3__RPS6KA4	0,011	-1,116	-1,360	-0,157	-0,293	-1,170	-0,797	0,061	0,103	0,26912826
CD22__DOT1L	-0,503	-5,960	-6,643	-0,181	-0,247	-1,169	-1,305	-0,047	-0,069	0,177721759
LTC4S__MAP3K4	-1,265	-1,918	-3,530	-0,138	-0,246	-1,169	-1,055	0,062	0,107	0,21897134
DMPK__SSTR4	-1,362	-1,612	-3,553	-0,213	-0,270	-1,169	-0,965	0,069	0,044	0,235591326
DNMT1__PIK3CA	-3,434	-2,547	-6,325	-0,299	-0,389	-1,168	-0,854	-0,093	-0,027	0,256075472
ATR__MMP14	-10,398	-0,159	-9,526	-0,255	-0,271	-1,167	-0,572	-0,077	-0,005	0,318253232
CDC25B__PTP4A3	-1,748	-0,976	-2,735	-0,148	-0,198	-1,167	-1,740	0,013	-0,004	0,11912284
AKT1__EPRS	-1,614	-8,873	-9,694	-0,262	-0,280	-1,167	-0,423	0,006	0,042	0,35215163
NOS2__PRKAA1	-1,122	-0,215	-1,421	-0,125	-0,211	-1,167	-0,676	0,011	-0,017	0,296072433
PRKDC__TPSAB1	-3,525	-2,436	-6,058	-0,142	-0,205	-1,167	-0,597	0,030	0,082	0,312675095
FGFR2__PRKCZ	-0,533	-1,211	-1,823	-0,156	-0,281	-1,167	-0,565	0,089	0,062	0,319588873
MAP4K1__NT5M	-0,584	-0,676	-1,553	-0,115	-0,195	-1,167	-0,559	-0,001	0,055	0,320811972
CAMK2B__CSNK1G2	-0,060	-1,166	-1,424	-0,121	-0,235	-1,166	-1,518	0,064	0,011	0,148627098
STMN1__TAOK2	-3,308	-0,348	-4,099	-0,148	-0,199	-1,166	-1,391	-0,017	0,012	0,164929295
CSF1R__LTB4R	-0,238	-1,324	-1,542	-0,138	-0,260	-1,166	-0,636	0,004	0,073	0,305348895
BIRC5__CKM	-9,867	-1,322	-10,889	-0,484	-0,428	-1,166	-1,251	-0,030	-0,041	0,185433961
INPP1__MAP2K7	-0,451	-0,638	-1,804	-0,156	-0,298	-1,166	-0,806	0,018	0,027	0,267288129
CSK__UCK2	-1,758	-0,763	-2,716	-0,134	-0,218	-1,166	-0,845	0,068	0,127	0,258791934
BCAT2__TOP1	-1,032	-10,290	-13,555	-0,345	-0,267	-1,166	-1,801	0,080	0,061	0,113317055
CHD1__SLC5A5	-1,547	-0,791	-2,377	-0,138	-0,231	-1,166	-1,788	-0,002	0,037	0,114795025
AANAT__PKLR	-1,408	-1,080	-3,055	-0,152	-0,273	-1,165	-0,828	0,068	0,054	0,262188894
CIT__NAMPT	-4,565	-16,018	-20,770	-0,654	-0,242	-1,165	-1,309	0,095	0,031	0,176739629
MAP2K2__PTGIR	-0,367	0,065	-0,322	-0,099	-0,193	-1,165	-1,292	0,114	0,140	0,179368635
MAPK8IP1__RET	-0,095	0,245	0,243	-0,177	-0,352	-1,164	-0,794	0,113	0,082	0,269806981
LARS2__MAP4K1	-5,628	-0,584	-6,098	-0,195	-0,275	-1,164	-0,487	-0,030	-0,017	0,336713783
MST1R__PIK3CG	-0,732	-1,010	-1,880	-0,125	-0,224	-1,164	-0,997	0,022	0,016	0,230925461
CA9__MASP2	-2,644	-0,472	-3,293	-0,140	-0,244	-1,164	-0,980	0,132	0,182	0,23357615
PKLR__PTGIR	-1,080	0,065	-1,388	-0,104	-0,198	-1,163	-0,897	-0,028	-0,015	0,247888779
HMGA1__NT5M	-5,600	-0,676	-6,737	-0,152	-0,198	-1,163	-1,636	0,169	0,130	0,130944259
GHSR__GMPS	-0,283	-9,083	-10,505	-0,337	-0,274	-1,163	-0,869	0,050	0,123	0,253362141
PFKFB1__PTP4A3	-0,008	-0,976	-0,895	-0,129	-0,247	-1,162	-1,413	0,057	0,089	0,161965584
MAP2K5__PRKCA	-0,580	-0,440	-1,195	-0,178	-0,332	-1,162	-0,836	-0,040	0,034	0,260818123
AKT1__LCK	-1,614	-2,887	-4,491	-0,155	-0,231	-1,162	-0,979	0,016	0,022	0,233536902
CD22__NPR1	-0,503	-1,211	-1,827	-0,122	-0,252	-1,161	-0,743	-0,059	-0,045	0,28144928
MAP4K1__UMPS	-0,584	-12,605	-12,801	-0,301	-0,224	-1,161	-0,571	-0,098	-0,031	0,318229386
MAP2K2__PKLR	-0,367	-1,080	-1,696	-0,116	-0,206	-1,160	-1,006	0,041	0,044	0,229040601
POMC__PTGIR	-0,616	0,065	-1,153	-0,159	-0,299	-1,160	-0,747	-0,120	-0,130	0,280741727
EPHA2__MST1R	-0,696	-0,732	-1,628	-0,116	-0,213	-1,160	-0,507	0,201	0,231	0,332356263
ALAD__PTK6	-4,894	-0,728	-5,770	-0,197	-0,253	-1,160	-0,992	0,076	0,106	0,231546784
BIRC5__CYP4F12	-9,867	-2,447	-11,439	-0,400	-0,334	-1,160	-1,422	0,090	0,064	0,1613692
PRKCA__TPSAB1	-0,440	-2,436	-2,805	-0,136	-0,238	-1,160	-0,500	0,050	0,083	0,333835766
GCK__MAP3K3	0,031	-1,218	-1,082	-0,155	-0,269	-1,159	-0,973	0,010	-0,005	0,234557947
CYP11B2__GHSR	-0,595	-0,283	-1,074	-0,098	-0,199	-1,159	-1,164	-0,011	-0,065	0,199217204
PRKCD__PTK6	0,177	-0,728	-0,468	-0,125	-0,263	-1,159	-0,466	0,003	0,058	0,342033551
CDK5__OXT	-0,143	-0,939	-1,537	-0,114	-0,228	-1,159	-1,709	0,001	0,097	0,122947036
CD22__IGF1R	-0,503	-4,583	-5,246	-0,240	-0,313	-1,158	-0,827	0,026	0,040	0,262288838
AKT1__SRC	-1,614	0,012	-1,625	-0,125	-0,217	-1,158	-0,391	0,081	0,088	0,359407173
MAP2K5__PTK6	-0,580	-0,728	-1,446	-0,129	-0,233	-1,158	-1,008	0,033	0,089	0,228783359
CDK8__PPP1CC	-1,445	-1,344	-2,792	-0,181	-0,315	-1,157	-1,044	-0,005	-0,033	0,221471226
CSK__LCK	-1,758	-2,887	-4,894	-0,136	-0,210	-1,157	-1,158	0,121	0,140	0,199751903
GALK1__LIG1	-1,781	-2,514	-4,413	-0,150	-0,235	-1,157	-1,175	0,008	0,011	0,197265955
BCL2L2__MC1R	-1,926	-1,588	-3,456	-0,137	-0,218	-1,157	-1,448	0,127	0,123	0,158680607
FN3K__MCAT	-0,827	-12,434	-13,729	-0,489	-0,279	-1,156	-0,733	0,003	-0,018	0,283762031
PIM2__PTGER1	-2,275	-0,443	-2,815	-0,193	-0,322	-1,156	-0,697	0,073	0,047	0,291460839
HMGCR__POMC	-4,338	-0,616	-4,833	-0,208	-0,320	-1,155	-0,690	0,122	0,098	0,292786309
DOT1L__LCK	-5,960	-2,887	-9,530	-0,250	-0,245	-1,155	-1,271	0,176	0,113	0,182186409
CDK12__HCK	-5,192	-0,685	-5,933	-0,213	-0,286	-1,155	-0,883	0,178	0,096	0,250158853
BSG__MAP3K10	-4,293	-1,090	-5,955	-0,192	-0,237	-1,155	-1,450	0,063	0,072	0,15821857
BCKDK__P2RY6	-0,637	-0,760	-1,508	-0,101	-0,199	-1,155	-0,696	0,151	0,193	0,291505988
AOC3__P2RY6	-1,567	-0,760	-2,705	-0,114	-0,210	-1,154	-1,006	0,158	0,124	0,229204266
MCAT__NAMPT	-12,434	-16,018	-23,842	-0,787	-0,307	-1,154	-0,406	0,181	0,158	0,356012449
ALK__CDK5	-0,898	-0,143	-1,626	-0,127	-0,226	-1,154	-1,206	0,069	0,084	0,191689709
MAP2K5__PFKFB4	-0,580	-0,585	-1,349	-0,137	-0,259	-1,153	-0,765	0,067	0,115	0,276731194
DDR2__HCRT	-0,085	-1,411	-1,571	-0,132	-0,208	-1,153	-0,952	0,022	0,063	0,23810873
FN3K__MAPK3	-0,827	-1,014	-2,212	-0,149	-0,246	-1,153	-1,917	0,066	0,059	0,101466929
BIRC5__PRODH	-9,867	-2,250	-12,318	-0,417	-0,409	-1,152	-1,738	0,018	-0,027	0,119319231
CDK2__DCXR	-4,432	-1,067	-5,580	-0,396	-0,476	-1,152	-0,844	0,058	0,081	0,259203568
GRM2__SRC	-0,213	0,012	-0,401	-0,104	-0,217	-1,152	-1,131	0,032	0,057	0,203986385
CDK8__NT5M	-1,445	-0,676	-2,754	-0,159	-0,270	-1,152	-1,015	0,047	0,109	0,227058269
MAP2K5__MST1R	-0,580	-0,732	-1,401	-0,134	-0,237	-1,152	-0,822	0,076	0,096	0,263362083
CYP11B2__MAP2K5	-0,595	-0,580	-1,396	-0,123	-0,222	-1,152	-1,157	0,086	0,119	0,199845847
PTP4A3__SSTR5	-0,976	-1,555	-3,073	-0,111	-0,198	-1,151	-0,998	0,238	0,229	0,230442013
CA9__MAP3K4	-2,644	-1,918	-5,076	-0,161	-0,246	-1,151	-1,109	0,089	0,023	0,20770553
EPHA2__NR5A1	-0,696	-0,415	-1,433	-0,149	-0,264	-1,151	-1,041	0,165	0,205	0,221949845
AXL__BCAT2	-0,979	-1,032	-2,264	-0,115	-0,214	-1,151	-0,780	0,089	0,111	0,27301845
ILK__SSTR4	-0,704	-1,612	-1,890	-0,175	-0,282	-1,150	-0,304	0,097	0,059	0,377920936
CAMK2A__PPP1CC	-0,737	-1,344	-2,123	-0,154	-0,274	-1,150	-1,106	0,130	0,104	0,208338206
CAMK1D__TYK2	0,124	-1,079	-1,301	-0,122	-0,235	-1,150	-0,979	0,064	0,068	0,233541556
CYP4F12__ERBB4	-2,447	-0,217	-2,942	-0,133	-0,217	-1,150	-0,651	0,012	0,024	0,301943027
PRKCA__TST	-0,440	-0,442	-1,246	-0,185	-0,325	-1,149	-1,458	0,096	0,115	0,157316979
CKM__UMPS	-1,322	-12,605	-14,177	-0,334	-0,231	-1,149	-1,756	-0,017	-0,015	0,117092059
KCNA3__PTPRZ1	0,011	-0,127	0,157	-0,157	-0,310	-1,149	-0,703	0,079	0,066	0,289987394
IGF1R__KCNQ4	-4,583	-1,655	-6,539	-0,188	-0,258	-1,149	-0,951	0,044	-0,017	0,238301452
BRD2__DAPK3	-2,558	-0,316	-2,985	-0,163	-0,259	-1,148	-0,987	0,051	0,066	0,232488933
ALPL__GPI	-0,749	-3,285	-4,249	-0,183	-0,279	-1,148	-1,047	0,074	0,019	0,220602644
LTC4S__PRKCA	-1,265	-0,440	-1,884	-0,171	-0,278	-1,148	-1,726	0,088	-0,028	0,120834932
MC1R__PLOD1	-1,588	-1,793	-3,458	-0,200	-0,259	-1,148	-0,710	0,031	0,041	0,288635889
KSR1__TPSAB1	-0,783	-2,436	-3,507	-0,137	-0,211	-1,148	-1,568	0,081	0,022	0,141497006
DMPK__NT5M	-1,362	-0,676	-2,069	-0,138	-0,214	-1,147	-0,526	0,118	0,232	0,328268802
GPX1__STMN1	-1,005	-3,308	-4,714	-0,167	-0,248	-1,147	-1,208	0,132	0,128	0,191385784
ACVR1__HCRT	-0,009	-1,411	-1,468	-0,127	-0,263	-1,146	-0,766	0,026	0,009	0,276357233
CKM__GPX1	-1,322	-1,005	-2,431	-0,235	-0,368	-1,146	-0,654	0,011	0,053	0,301305758
GHSR__PRKDC	-0,283	-3,525	-3,897	-0,166	-0,200	-1,146	-1,533	0,123	0,174	0,146657466
CIT__NDUFB1	-4,565	-6,822	-10,827	-0,325	-0,286	-1,146	-0,427	-0,021	0,060	0,351043382
DBH__EPHB4	-1,058	-0,079	-1,477	-0,136	-0,250	-1,146	-1,008	0,147	0,165	0,228625362
CSF1R__TST	-0,238	-0,442	-0,929	-0,159	-0,288	-1,145	-1,298	0,125	0,110	0,178486955
PRKCZ__SRC	-1,211	0,012	-1,555	-0,146	-0,261	-1,145	-1,580	0,023	-0,010	0,139863612
LARS2__PLA2G4C	-5,628	-0,026	-4,582	-0,196	-0,321	-1,145	-0,808	0,045	0,085	0,26711282
DMPK__PLA2G4C	-1,362	-0,026	-1,305	-0,108	-0,211	-1,144	-0,326	0,045	0,092	0,373182246
CA9__CYP4F12	-2,644	-2,447	-4,930	-0,154	-0,257	-1,144	-0,626	0,226	0,207	0,30760199
AANAT__CRYBB1	-1,408	-0,615	-2,135	-0,169	-0,289	-1,144	-0,884	0,017	-0,029	0,24998505
PIM2__RPS6KA4	-2,275	-1,116	-3,553	-0,181	-0,315	-1,144	-0,772	-0,030	-0,023	0,275083265
CHD1__TOP1	-1,547	-10,290	-11,298	-0,270	-0,246	-1,144	-0,858	0,047	0,085	0,255615457
ALK__XIAP	-0,898	-2,451	-3,448	-0,164	-0,236	-1,144	-0,360	-0,032	0,020	0,366107262
GMPS__PTPRJ	-9,083	-1,014	-10,386	-0,357	-0,274	-1,144	-0,995	0,000	-0,047	0,231134993
MC1R__PIK3CG	-1,588	-1,010	-2,956	-0,148	-0,266	-1,144	-1,407	-0,050	-0,117	0,162562126
ITGA6__PARP1	-0,877	-3,299	-4,519	-0,171	-0,274	-1,143	-0,577	-0,041	0,050	0,317265213
EPHB2__MAPKAPK2	-0,976	-0,789	-2,089	-0,126	-0,210	-1,143	-1,873	0,181	0,172	0,105512354
GMPS__PIM2	-9,083	-2,275	-12,150	-0,450	-0,322	-1,143	-0,813	-0,052	-0,026	0,265718396
ERBB2__RPS6KA2	-1,344	-0,478	-2,048	-0,131	-0,216	-1,143	-0,599	0,081	0,115	0,312491934
RPS6KA2__RPS6KA4	-0,478	-1,116	-1,588	-0,130	-0,244	-1,143	-0,886	0,119	0,181	0,249849236
FABP4__TXN	0,022	-9,806	-10,276	-0,328	-0,341	-1,142	-0,883	0,014	0,054	0,250135334
APEX1__PRKAB1	-2,369	-0,227	-2,875	-0,140	-0,243	-1,142	-1,385	0,044	0,008	0,165934594
CD22__MAP2K5	-0,503	-0,580	-1,009	-0,139	-0,238	-1,142	-0,870	0,057	0,056	0,253142241
ILK__TPSAB1	-0,704	-2,436	-3,356	-0,121	-0,193	-1,142	-0,850	0,068	0,084	0,257325767
ACY1__NT5M	-1,630	-0,676	-2,369	-0,119	-0,207	-1,142	-0,607	0,091	0,151	0,311252328
GCK__GHSR	0,031	-0,283	-0,428	-0,129	-0,245	-1,141	-0,900	0,134	0,046	0,247568913
SPHK2__TOP1	-0,950	-10,290	-13,517	-0,314	-0,310	-1,141	-1,030	0,018	-0,008	0,224098046
SLC16A8__TYK2	-1,458	-1,079	-2,836	-0,134	-0,249	-1,141	-1,441	0,130	0,174	0,159898793
LCK__SLC16A8	-2,887	-1,458	-4,602	-0,169	-0,276	-1,141	-1,290	0,133	0,167	0,179536245
GRB2__PIK3CA	-16,836	-2,547	-21,497	-1,292	-0,487	-1,141	-1,094	-0,064	0,000	0,21089555
MC1R__PTP4A3	-1,588	-0,976	-2,968	-0,134	-0,224	-1,141	-0,886	0,076	0,034	0,249896745
ATR__DDR2	-10,398	-0,085	-9,092	-0,262	-0,291	-1,141	-0,408	0,082	-0,001	0,355581001
MAP3K8__PIK3CD	-0,015	-1,372	-1,862	-0,211	-0,376	-1,141	-1,131	0,100	0,057	0,203962094
BCL2L2__DDR2	-1,926	-0,085	-1,598	-0,119	-0,227	-1,140	-0,559	-0,028	0,007	0,320858464
EGFR__SLC16A5	0,272	-1,334	-1,313	-0,128	-0,240	-1,140	-0,860	-0,016	-0,054	0,255429179
CAMK1G__GPX1	-0,701	-1,005	-2,053	-0,143	-0,254	-1,140	-0,799	0,039	0,017	0,268943594
AOC3__GPX1	-1,567	-1,005	-2,977	-0,142	-0,242	-1,139	-1,167	0,232	0,253	0,198925582
NPR1__PRKDC	-1,211	-3,525	-4,515	-0,140	-0,201	-1,139	-0,466	0,086	0,081	0,341925945
CDK2__HMGA1	-4,432	-5,600	-10,941	-0,471	-0,470	-1,139	-1,320	0,125	0,069	0,175580702
PTPRE__RPS6KA4	-0,635	-1,116	-2,547	-0,150	-0,255	-1,139	-1,564	0,199	0,231	0,141973825
CSF3R__DCXR	-2,260	-1,067	-3,700	-0,162	-0,254	-1,139	-0,827	0,120	0,138	0,262305599
MAP3K4__PRKCA	-1,918	-0,440	-2,499	-0,148	-0,264	-1,139	-1,562	-0,128	-0,117	0,142302713
PIM1__PKLR	-3,019	-1,080	-4,262	-0,133	-0,211	-1,139	-0,468	0,006	0,069	0,341411268
EHMT2__MAP3K4	-0,955	-1,918	-3,394	-0,182	-0,282	-1,138	-1,568	0,082	0,092	0,141452402
CDK12__CYP4F12	-5,192	-2,447	-7,391	-0,202	-0,250	-1,138	-1,115	0,097	0,078	0,206830153
ERBB3__MAP3K8	-1,385	-0,015	-1,540	-0,116	-0,210	-1,138	-0,380	0,094	0,118	0,362243678
CDK8__PIK3R2	-1,445	-1,287	-3,696	-0,208	-0,324	-1,138	-1,054	0,017	0,014	0,218936933
PIK3R2__PRODH	-1,287	-2,250	-3,859	-0,179	-0,285	-1,137	-0,862	0,140	0,158	0,254825562
ALPL__AOC3	-0,749	-1,567	-2,283	-0,107	-0,214	-1,137	-0,683	0,163	0,194	0,29509108
DDR2__PTK6	-0,085	-0,728	-0,812	-0,117	-0,242	-1,137	-0,637	0,043	0,102	0,305433474
PNMT__SLC16A5	-0,507	-1,334	-1,832	-0,157	-0,282	-1,136	-0,801	-0,005	-0,013	0,268513904
FGFR2__PTGER1	-0,533	-0,443	-1,223	-0,129	-0,232	-1,136	-1,281	0,048	0,021	0,180284655
AMHR2__TYK2	-1,067	-1,079	-2,146	-0,105	-0,198	-1,136	-0,859	0,203	0,195	0,255664045
MAPK12__SRC	-3,067	0,012	-3,003	-0,149	-0,246	-1,136	-1,427	0,166	0,105	0,161045818
CYP11B2__LCK	-0,595	-2,887	-3,718	-0,183	-0,288	-1,136	-0,927	0,050	0,087	0,242802351
BCL2L2__MAP3K5	-1,926	-0,220	-2,499	-0,140	-0,245	-1,136	-0,509	0,135	0,088	0,331883847
DAPK3__GRM2	-0,316	-0,213	-0,313	-0,123	-0,243	-1,135	-0,572	0,071	0,144	0,318259826
PRSS8__PTGIR	-0,778	0,065	-1,376	-0,117	-0,249	-1,135	-1,284	0,057	0,065	0,180118583
GPI__OXT	-3,285	-0,939	-4,731	-0,157	-0,253	-1,135	-1,982	0,018	-0,033	0,095867291
DAPK3__SRC	-0,316	0,012	-0,570	-0,140	-0,273	-1,134	-0,627	0,098	0,079	0,307262712
CDK2__STMN1	-4,432	-3,308	-7,809	-0,318	-0,374	-1,134	-1,110	-0,064	-0,018	0,207786555
MAP3K10__SPHK1	-1,090	-1,140	-2,305	-0,139	-0,238	-1,134	-0,897	-0,002	0,045	0,247902778
DDR2__SPHK2	-0,085	-0,950	-1,666	-0,142	-0,265	-1,134	-0,663	0,103	-0,019	0,299191875
RET__TXN	0,245	-9,806	-9,731	-0,439	-0,403	-1,133	-0,707	-0,057	-0,091	0,289369234
CSK__PPP1CC	-1,758	-1,344	-3,321	-0,171	-0,252	-1,133	-1,679	0,089	0,076	0,126483558
AMHR2__PRSS8	-1,067	-0,778	-1,548	-0,113	-0,198	-1,133	-0,640	0,057	0,103	0,304968805
PPP1CC__RPS6KA2	-1,344	-0,478	-1,857	-0,154	-0,288	-1,133	-1,173	-0,063	-0,079	0,197769119
GRM2__SSTR4	-0,213	-1,612	-1,940	-0,165	-0,273	-1,133	-0,864	0,058	0,086	0,254519183
FGFR3__PRKCA	-0,912	-0,440	-1,550	-0,135	-0,241	-1,133	-1,209	0,147	0,126	0,191355948
CYP4F12__PRSS8	-2,447	-0,778	-3,463	-0,190	-0,270	-1,133	-1,644	0,251	0,208	0,130222473
BCL2L1__DCXR	-5,370	-1,067	-6,306	-0,172	-0,235	-1,132	-1,253	0,102	0,061	0,185277199
CDKN1A__NAGK	-1,754	-0,739	-2,700	-0,118	-0,200	-1,132	-1,295	0,109	0,043	0,178903134
AKT1__TXN	-1,614	-9,806	-12,090	-0,378	-0,300	-1,132	-1,337	-0,023	-0,038	0,173091173
LARS2__PTGIR	-5,628	0,065	-5,501	-0,160	-0,237	-1,132	-0,570	0,160	0,139	0,318561553
GALK1__SSTR5	-1,781	-1,555	-4,066	-0,151	-0,259	-1,132	-0,876	0,088	0,097	0,251670724
PPP1CC__TK1	-1,344	-1,890	-3,628	-0,203	-0,330	-1,131	-2,061	0,206	0,156	0,090089493
DNMT1__HCRTR1	-3,434	-3,307	-6,832	-0,422	-0,431	-1,131	-0,713	-0,036	-0,017	0,287970402
CDK2__PIM1	-4,432	-3,019	-7,751	-0,307	-0,371	-1,131	-1,064	0,071	0,100	0,217211361
NDUFA4__PIK3CG	-5,357	-1,010	-6,823	-0,470	-0,578	-1,131	-1,252	0,043	0,048	0,185300775
PLA2G4C__RELA	-0,026	-0,822	-1,088	-0,119	-0,231	-1,131	-0,772	-0,089	0,004	0,275221052
KCNA3__NPR1	0,011	-1,211	-1,632	-0,126	-0,241	-1,130	-1,514	0,150	0,074	0,149080445
CLK3__HCRT	-0,453	-1,411	-2,222	-0,178	-0,331	-1,130	-0,923	-0,059	-0,086	0,243837092
CAMK1G__TSPO	-0,701	-1,526	-2,185	-0,141	-0,208	-1,130	-0,488	0,121	0,119	0,336440874
BIRC5__PIK3CG	-9,867	-1,010	-11,090	-0,460	-0,328	-1,130	-0,627	-0,027	-0,034	0,307278249
CDC25A__GHSR	-3,276	-0,283	-4,080	-0,191	-0,276	-1,130	-1,743	0,161	0,172	0,118604573
ATR__PLA2G2E	-10,398	-0,827	-10,744	-0,405	-0,303	-1,130	-0,861	-0,082	-0,073	0,255251463
CDK12__GHSR	-5,192	-0,283	-5,433	-0,162	-0,224	-1,129	-0,652	0,059	0,071	0,301872056
AOC1__PFKFB4	-0,898	-0,585	-1,602	-0,134	-0,243	-1,129	-1,077	0,119	0,098	0,214472751
JAK3__SPHK1	-0,991	-1,140	-2,339	-0,177	-0,303	-1,129	-0,372	-0,012	0,038	0,36349001
DBH__TST	-1,058	-0,442	-1,443	-0,167	-0,278	-1,129	-0,734	0,024	0,042	0,283411948
ERBB4__PKLR	-0,217	-1,080	-1,750	-0,118	-0,228	-1,129	-0,917	0,061	0,089	0,24437229
MMP14__NAMPT	-0,159	-16,018	-17,670	-0,462	-0,241	-1,129	-1,740	0,046	0,019	0,119154105
IGF1R__LCK	-4,583	-2,887	-7,834	-0,236	-0,289	-1,129	-0,785	-0,003	0,058	0,271333747
GALK1__NR5A1	-1,781	-0,415	-2,520	-0,155	-0,299	-1,129	-0,445	-0,027	0,035	0,347056323
PRKCA__SRC	-0,440	0,012	-0,866	-0,149	-0,279	-1,129	-0,970	0,039	0,024	0,23490576
PRKCZ__XPO1	-1,211	-11,396	-12,897	-0,703	-0,467	-1,129	-0,992	0,004	-0,007	0,231523659
FGFR3__PKLR	-0,912	-1,080	-2,421	-0,147	-0,206	-1,128	-0,734	0,143	0,213	0,283508288
FN3K__MAP2K5	-0,827	-0,580	-2,016	-0,128	-0,221	-1,128	-2,724	-0,006	-0,037	0,047823085
CSK__FGFR3	-1,758	-0,912	-2,933	-0,147	-0,202	-1,128	-0,926	0,223	0,227	0,243320142
NPEPPS__PNMT	-1,323	-0,507	-1,706	-0,152	-0,265	-1,128	-1,227	0,218	0,196	0,188982801
MCL1__NAGK	-2,489	-0,739	-3,445	-0,143	-0,229	-1,128	-1,016	0,070	0,036	0,226739452
CDK2__SSTR4	-4,432	-1,612	-7,022	-0,663	-0,541	-1,128	-1,066	0,132	0,063	0,216831226
ERBB4__PLA2G2E	-0,217	-0,827	-1,304	-0,129	-0,241	-1,128	-1,599	0,119	0,134	0,136890341
ATR__GRB2	-10,398	-16,836	-25,141	-2,177	-0,851	-1,127	-0,916	-0,039	0,015	0,244371
EPHB4__PRODH	-0,079	-2,250	-2,419	-0,130	-0,229	-1,127	-0,904	0,170	0,151	0,246819029
CAMK2A__NPR1	-0,737	-1,211	-2,411	-0,134	-0,237	-1,127	-0,680	-0,001	0,059	0,295433912
PIK3CG__TK1	-1,010	-1,890	-3,050	-0,170	-0,252	-1,127	-1,993	0,086	0,054	0,094748013
HMGA1__IL12A	-5,600	-0,186	-6,565	-0,180	-0,240	-1,126	-1,545	0,115	0,204	0,144723384
KSR1__PTGIR	-0,783	0,065	-1,296	-0,113	-0,208	-1,126	-0,625	0,184	0,153	0,307614545
DNMT1__MC1R	-3,434	-1,588	-5,261	-0,269	-0,397	-1,125	-0,748	-0,050	-0,055	0,280533354
GRM2__XPO1	-0,213	-11,396	-12,170	-0,430	-0,368	-1,125	-0,967	-0,020	-0,009	0,235282623
DCK__NAGK	-1,100	-0,739	-1,876	-0,110	-0,210	-1,124	-0,491	0,108	0,141	0,335587115
CLK3__SRC	-0,453	0,012	-0,898	-0,205	-0,409	-1,124	-0,944	0,157	0,187	0,240142596
PTK6__PTPRJ	-0,728	-1,014	-1,771	-0,132	-0,230	-1,124	-0,378	-0,018	-0,028	0,362861812
PIK3R2__SLC16A8	-1,287	-1,458	-3,058	-0,172	-0,282	-1,124	-1,228	0,194	0,261	0,188968924
MAPK12__SLC16A8	-3,067	-1,458	-5,045	-0,234	-0,280	-1,124	-0,812	0,153	0,147	0,266162159
FGFR3__MAP3K10	-0,912	-1,090	-2,145	-0,141	-0,205	-1,123	-1,532	0,170	0,186	0,146808532
ADRBK1__UMPS	-0,953	-12,605	-13,396	-0,302	-0,239	-1,123	-1,297	-0,033	-0,035	0,178818718
EGFR__KDM1A	0,272	-9,378	-9,120	-0,315	-0,281	-1,123	-1,248	0,038	-0,021	0,185417963
GMPS__NPR2	-9,083	-2,336	-13,023	-0,279	-0,277	-1,122	-0,840	-0,007	0,004	0,26004969
CDC25A__DDR1	-3,276	-0,649	-4,529	-0,171	-0,269	-1,122	-0,749	0,072	0,078	0,280395138
BRD2__GMPS	-2,558	-9,083	-12,445	-0,525	-0,323	-1,122	-0,704	0,004	0,062	0,289912424
ALAD__TPSAB1	-4,894	-2,436	-7,092	-0,168	-0,198	-1,122	-1,021	-0,004	0,003	0,225942317
BCAT2__ILK	-1,032	-0,704	-1,832	-0,120	-0,214	-1,121	-0,425	0,139	0,122	0,35178842
BSG__CYP11B2	-4,293	-0,595	-5,110	-0,139	-0,204	-1,121	-0,735	0,018	-0,006	0,283150455
CYP4F12__SSTR4	-2,447	-1,612	-3,702	-0,236	-0,268	-1,121	-1,431	0,161	0,154	0,161276837
HMGA1__STMN1	-5,600	-3,308	-8,605	-0,149	-0,213	-1,120	-0,682	0,126	0,137	0,295192482
EPHB4__GRB2	-0,079	-16,836	-16,080	-0,961	-0,575	-1,120	-1,284	0,012	-0,085	0,180039838
PRKAB1__SSTR5	-0,227	-1,555	-2,250	-0,123	-0,209	-1,120	-0,442	0,096	0,091	0,348028059
AOC3__OXT	-1,567	-0,939	-3,086	-0,134	-0,226	-1,120	-1,286	0,022	0,007	0,180047623
CHD1__CYP11B2	-1,547	-0,595	-2,265	-0,143	-0,222	-1,120	-1,360	-0,044	-0,035	0,169330202
BCAT2__TST	-1,032	-0,442	-1,473	-0,165	-0,291	-1,119	-0,834	0,224	0,209	0,261329763
ITGA6__PIK3C2B	-0,877	-0,665	-1,919	-0,138	-0,241	-1,119	-1,374	0,032	0,069	0,16768123
