Symbol	Gene_ID	Rank	RSA.p-value	FDR
NRCAM	4897	1223	0.062519331	0.350885272
USP13	8975	1224	0.062589808	0.350955
FKBP2	2286	1225	0.0626398	0.350955
CARD9	64170	1226	0.062733859	0.350955
CCL2	6347	1227	0.062736274	0.350955
TNFRSF10A	8797	1228	0.062788751	0.35096253
GJA1	2697	1229	0.063040068	0.352080575
GORASP2	26003	1230	0.063098837	0.35212229
PROK1	84432	1231	0.063165912	0.352210252
UBAC1	10422	1232	0.063245204	0.35234313
TRADD	8717	1233	0.063309896	0.35234313
CA7	766	1234	0.063535551	0.35234313
MTNR1A	4543	1235	0.063597815	0.35234313
UBE3A	7337	1236	0.063632841	0.35234313
PDZD3	79849	1237	0.063706494	0.35234313
KDM5B	10765	1238	0.063778942	0.35234313
ADAMTS9	56999	1239	0.063849714	0.35234313
ASH2L	9070	1240	0.063885667	0.35234313
MAN2C1	4123	1241	0.063896101	0.35234313
CORIN	10699	1242	0.063900844	0.35234313
WSB2	55884	1243	0.063924403	0.35234313
NLGN3	54413	1244	0.064019865	0.35234313
C1S	716	1245	0.064146296	0.35234313
GPR179	440435	1246	0.064169516	0.35234313
GRXCR1	389207	1247	0.064173453	0.35234313
RFX2	5990	1248	0.064218437	0.35234313
C3orf50	93556	1249	0.064281321	0.35234313
SLC39A6	25800	1250	0.064317322	0.35234313
OLFML2A	169611	1251	0.064319938	0.35234313
GTF2H4	2968	1252	0.064461173	0.35234313
MSGN1	343930	1253	0.064529486	0.35234313
INSIG1	3638	1254	0.064605008	0.35234313
PGLYRP3	114771	1255	0.064610601	0.35234313
FAM53B	9679	1256	0.064629505	0.35234313
SIRT4	23409	1257	0.06464975	0.35234313
WNK1	65125	1258	0.06468429	0.35234313
SLC10A4	201780	1259	0.064708864	0.35234313
LAMA4	3910	1260	0.064733443	0.35234313
KLC1	3831	1261	0.064748827	0.35234313
CAMK1	8536	1262	0.064881035	0.35234313
INPP5K	51763	1263	0.064892628	0.35234313
MS4A3	932	1264	0.064903337	0.35234313
GEMIN4	50628	1265	0.065011086	0.35234313
MAST2	23139	1266	0.065102797	0.35234313
CRYGB	1419	1267	0.065115439	0.35234313
BLNK	29760	1268	0.065180182	0.35234313
ARSB	411	1269	0.06523247	0.35234313
OBSCN	84033	1270	0.065271516	0.35234313
SYK	6850	1271	0.065369205	0.35234313
PAK1	5058	1272	0.065427872	0.35234313
CPNE4	131034	1273	0.065429854	0.35234313
SARM1	23098	1274	0.06546767	0.35234313
PRKCD	5580	1275	0.065494137	0.35234313
SFRS9	8683	1276	0.065534457	0.35234313
GPX2	2877	1277	0.06568255	0.35234313
USP7	7874	1278	0.065721797	0.35234313
AKAP8	10270	1279	0.065755091	0.35234313
ACR	49	1280	0.065828806	0.35234313
CCNF	899	1281	0.065857377	0.35234313
SLC7A4	6545	1282	0.065878962	0.35234313
NPAS2	4862	1283	0.06599702	0.35234313
SLC9A4	389015	1284	0.066016712	0.35234313
OXNAD1	92106	1285	0.066019077	0.35234313
CHRNB4	1143	1286	0.066044069	0.35234313
SCARF1	8578	1287	0.066080141	0.35234313
TOLLIP	54472	1288	0.066134955	0.35234313
PPP1R2P9	80316	1289	0.066186099	0.35234313
DUSP6	1848	1290	0.066218333	0.35234313
OR1D2	4991	1291	0.066362788	0.352598005
LRRC39	127495	1292	0.066424031	0.352598005
CYP4X1	260293	1293	0.066464582	0.352598005
ACACB	32	1294	0.066616957	0.352598005
CR2	1380	1295	0.066629346	0.352598005
LDLRAD3	143458	1296	0.066642678	0.352598005
TRIM11	81559	1297	0.066667484	0.352598005
RASGRP4	115727	1298	0.066692706	0.352598005
STS	412	1299	0.066728556	0.352598005
SLAMF1	6504	1300	0.067033338	0.353936025
PAQR5	54852	1301	0.067318293	0.354708779
PDLIM5	10611	1302	0.06731845	0.354708779
BIRC2	329	1303	0.067334723	0.354708779
PRPH2	5961	1304	0.067646493	0.355549116
UBA7	7318	1305	0.06765667	0.355549116
GDF7	151449	1306	0.067765184	0.355549116
CHEK2	11200	1307	0.067787005	0.355549116
KCNH3	23416	1308	0.067849484	0.355549116
ACTN4	81	1309	0.067878665	0.355549116
ASB7	140460	1310	0.067900046	0.355549116
CAPN9	10753	1311	0.067908638	0.355549116
GABRA4	2557	1312	0.067988116	0.355693924
OR51B4	79339	1313	0.068135742	0.356137705
KCNA2	3737	1314	0.068176711	0.356137705
ESRRG	2104	1315	0.068395361	0.357008181
ERCC6	2074	1316	0.068482288	0.357190292
S1PR1	1901	1317	0.068573869	0.357394934
CLDN16	10686	1318	0.068625659	0.357394934
AQP9	366	1319	0.068776728	0.357744598
TRPC4AP	26133	1320	0.068797038	0.357744598
CYP4F22	126410	1321	0.068894563	0.35798053
ADAMTS12	81792	1322	0.068957002	0.358033935
MED30	90390	1323	0.069120191	0.358233252
DKK1	22943	1324	0.069143007	0.358233252
KIF2B	84643	1325	0.069198978	0.358233252
CORT	1325	1326	0.069204151	0.358233252
SLC22A7	10864	1327	0.069342266	0.358277656
DNMT1	1786	1328	0.069347127	0.358277656
RIPK1	8737	1329	0.069451655	0.358277656
ABCF1	23	1330	0.069478482	0.358277656
RRM2B	50484	1331	0.069534235	0.358277656
SAT1	6303	1332	0.06957218	0.358277656
TIAF1	9220	1333	0.069595576	0.358277656
TRIM64	120146	1334	0.069630302	0.358277656
MTRR	4552	1335	0.06979778	0.358632393
PCK1	5105	1336	0.069947726	0.358632393
TUBA8	51807	1337	0.06998277	0.358632393
AKT1	207	1338	0.070017966	0.358632393
PFKP	5214	1339	0.07005846	0.358632393
TMPRSS11D	9407	1340	0.070113398	0.358632393
FMO5	2330	1341	0.070201649	0.358632393
FABP4	2167	1342	0.070201664	0.358632393
NKD2	85409	1343	0.070271263	0.358632393
NR5A2	2494	1344	0.070333199	0.358632393
BMP15	9210	1345	0.0703622	0.358632393
GHR	2690	1346	0.070456492	0.358632393
TRIP10	9322	1347	0.070487977	0.358632393
WDHD1	11169	1348	0.070631117	0.358632393
HSD17B13	345275	1349	0.070689305	0.358632393
VHL	7428	1350	0.070694485	0.358632393
C8B	732	1351	0.07072641	0.358632393
FAS	355	1352	0.070777654	0.358632393
FBXO27	126433	1353	0.070860862	0.358632393
MAFA	389692	1354	0.070902481	0.358632393
SP3	6670	1355	0.070917346	0.358632393
MYST3	7994	1356	0.070985748	0.358632393
CXCL14	9547	1357	0.071083547	0.358632393
SLC6A9	6536	1358	0.071110722	0.358632393
TRIM43	129868	1359	0.071194086	0.358632393
TEX13A	56157	1360	0.071203509	0.358632393
GRM4	2914	1361	0.071225451	0.358632393
PDE11A	50940	1362	0.071288017	0.358632393
GSR	2936	1363	0.07129783	0.358632393
CLCN7	1186	1364	0.071313736	0.358632393
SND1	27044	1365	0.071360933	0.358632393
LYNX1	66004	1366	0.071401574	0.358632393
SLC9A8	23315	1367	0.071444414	0.358632393
FBXO7	25793	1368	0.071496866	0.358632393
TAAR9	134860	1369	0.071527935	0.358632393
LHX3	8022	1370	0.071653289	0.358998668
MLL4	9757	1371	0.071775638	0.359118011
MMP14	4323	1372	0.071781747	0.359118011
SRC	6714	1373	0.071999975	0.359892374
CCL5	6352	1374	0.072041393	0.359892374
OAS1	4938	1375	0.072147214	0.359901494
ZEB2	9839	1376	0.072148085	0.359901494
SCARF2	91179	1377	0.072350699	0.360036342
FBXW5	54461	1378	0.072357948	0.360036342
PLEK	5341	1379	0.072458565	0.360036342
PTPN9	5780	1380	0.072490426	0.360036342
CTTN	2017	1381	0.072515518	0.360036342
PPP1R13B	23368	1382	0.072633334	0.360036342
AKR1D1	6718	1383	0.072653749	0.360036342
LASS6	253782	1384	0.072674272	0.360036342
COL1A1	1277	1385	0.072696081	0.360036342
DOPEY1	23033	1386	0.072699646	0.360036342
UROD	7389	1387	0.072770339	0.360126609
DNAJC6	9829	1388	0.072910414	0.360297139
ERG	2078	1389	0.072963161	0.360297139
CYP2J2	1573	1390	0.073007805	0.360297139
GPR160	26996	1391	0.073047433	0.360297139
FBXL8	55336	1392	0.073067252	0.360297139
H1F0	3005	1393	0.073246494	0.360670569
CABC1	56997	1394	0.073248073	0.360670569
EPHB2	2048	1395	0.073347627	0.360901872
KIF5C	3800	1396	0.073441303	0.361086867
DVL1	1855	1397	0.073490436	0.361086867
FXR1	8087	1398	0.073610686	0.361100546
ZRANB1	54764	1399	0.073824616	0.361100546
USP6NL	9712	1400	0.073867458	0.361100546
GLI3	2737	1401	0.074075555	0.361100546
ABCD3	5825	1402	0.074103422	0.361100546
RARG	5916	1403	0.074127271	0.361100546
SUV39H1	6839	1404	0.074146385	0.361100546
MYST4	23522	1405	0.074283022	0.361100546
CBLC	23624	1406	0.074295837	0.361100546
OR10H1	26539	1407	0.074339951	0.361100546
THOP1	7064	1408	0.074346944	0.361100546
LOC440040	440040	1409	0.074348292	0.361100546
ETS1	2113	1410	0.074475589	0.361100546
KDM2B	84678	1411	0.074490763	0.361100546
PPARGC1A	10891	1412	0.074599907	0.361100546
PDGFRL	5157	1413	0.074602973	0.361100546
ITGB6	3694	1414	0.07462423	0.361100546
NCOA7	135112	1415	0.074641805	0.361100546
CA9	768	1416	0.074663113	0.361100546
PDE6G	5148	1417	0.07466444	0.361100546
SLC6A8	6535	1418	0.074721824	0.361100546
ALS2CL	259173	1419	0.074772952	0.361100546
RNF145	153830	1420	0.074774975	0.361100546
FBXO38	81545	1421	0.07483634	0.361100546
HES6	55502	1422	0.074850227	0.361100546
XRCC1	7515	1423	0.074900538	0.361100546
RSPRY1	89970	1424	0.074946319	0.361100546
PER1	5187	1425	0.074966241	0.361100546
KLK5	25818	1426	0.075060247	0.361237241
PPP1R1B	84152	1427	0.075118005	0.361237241
RC3H2	54542	1428	0.075152503	0.361237241
TICAM1	148022	1429	0.075260152	0.361501528
BRD1	23774	1430	0.075345453	0.361658174
SYNJ1	8867	1431	0.075411739	0.361723394
NLGN4X	57502	1432	0.075532466	0.362001813
ANAPC11	51529	1433	0.075575262	0.362001813
ADAMTS15	170689	1434	0.075667855	0.362192578
GPR148	344561	1435	0.075773137	0.362443772
ERBB2IP	55914	1436	0.075938481	0.362797594
SLC12A3	6559	1437	0.075952818	0.362797594
HS3ST1	9957	1438	0.076058178	0.362843696
RAET1G	353091	1439	0.076091284	0.362843696
BCL6	604	1440	0.076121055	0.362843696
BSG	682	1441	0.076243945	0.363177265
KCNK17	89822	1442	0.076309647	0.363237338
AK7	122481	1443	0.076362395	0.363237338
KIF25	3834	1444	0.076551287	0.36388368
ZNF85	7639	1445	0.07669242	0.364302264
CCL26	10344	1446	0.076824729	0.364642201
ECE2	9718	1447	0.076921446	0.364642201
TNR	7143	1448	0.076928732	0.364642201
MCM3	4172	1449	0.076981398	0.364642201
PIK3R3	8503	1450	0.077055302	0.364642201
RNF170	81790	1451	0.077156251	0.364642201
STX4	6810	1452	0.077197682	0.364642201
ACO1	48	1453	0.077222684	0.364642201
MSH3	4437	1454	0.077242098	0.364642201
IRF3	3661	1455	0.077556502	0.365874797
APOA1	335	1456	0.077666666	0.365886866
CAPN1	823	1457	0.077733429	0.365886866
GALK2	2585	1458	0.077767038	0.365886866
UBAC2	337867	1459	0.077772281	0.365886866
CLEC12A	160364	1460	0.077858658	0.366042348
ABCA4	24	1461	0.077994197	0.366428589
SLC26A3	1811	1462	0.078246703	0.367190156
REV1	51455	1463	0.078301332	0.367190156
CAPN2	824	1464	0.078367967	0.367190156
IKBKE	9641	1465	0.078377715	0.367190156
GPER	2852	1466	0.078478363	0.367190156
CROT	54677	1467	0.078560373	0.367190156
CSF2RB	1439	1468	0.078594389	0.367190156
GPR61	83873	1469	0.078599005	0.367190156
TEC	7006	1470	0.078637752	0.367190156
PVR	5817	1471	0.078762778	0.367523935
MATN3	4148	1472	0.078946555	0.367888002
HTR3C	170572	1473	0.079009183	0.367888002
GUCY2D	3000	1474	0.079040578	0.367888002
IQGAP1	8826	1475	0.079055187	0.367888002
IP6K1	9807	1476	0.079344996	0.368742921
BTN3A3	10384	1477	0.079484404	0.368742921
UBASH3B	84959	1478	0.079553351	0.368742921
IGSF21	84966	1479	0.079594573	0.368742921
ALDH1A2	8854	1480	0.079619591	0.368742921
MTHFD1	4522	1481	0.079637685	0.368742921
ATAD2	29028	1482	0.079665649	0.368742921
RAB26	25837	1483	0.079711008	0.368742921
VPREB3	29802	1484	0.079761212	0.368742921
GPR149	344758	1485	0.079983712	0.368742921
SLC24A2	25769	1486	0.08001155	0.368742921
PLA1A	51365	1487	0.080074583	0.368742921
CCL4L1	9560	1488	0.080092412	0.368742921
IPO4	79711	1489	0.080161353	0.368742921
AMPD2	271	1490	0.080183865	0.368742921
HUS1	3364	1491	0.080211243	0.368742921
FBXL14	144699	1492	0.080279639	0.368742921
GNB2L1	10399	1493	0.080310233	0.368742921
IL16	3603	1494	0.08031093	0.368742921
TCEB2	6923	1495	0.080325883	0.368742921
PHKG1	5260	1496	0.080713829	0.368742921
PTPRV	148713	1497	0.080765306	0.368742921
ABCC8	6833	1498	0.080846391	0.368742921
ZNF444	55311	1499	0.080893791	0.368742921
OR2D2	120776	1500	0.08101192	0.368742921
RERG	85004	1501	0.081035727	0.368742921
MAP2K5	5607	1502	0.08110163	0.368742921
SLC9A7	84679	1503	0.081115798	0.368742921
PDE4A	5141	1504	0.081126789	0.368742921
HPN	3249	1505	0.08119577	0.368742921
SCYL2	55681	1506	0.081201093	0.368742921
LRP5	4041	1507	0.081212709	0.368742921
BRMS1	25855	1508	0.081241781	0.368742921
SDC4	6385	1509	0.081264794	0.368742921
PDPK1	5170	1510	0.081300563	0.368742921
EPHA10	284656	1511	0.081304198	0.368742921
RAB2B	84932	1512	0.081326298	0.368742921
SLC25A6	293	1513	0.081388454	0.368742921
CDKN2D	1032	1514	0.081461436	0.368742921
ACLY	47	1515	0.081489505	0.368742921
ZADH2	284273	1516	0.081495036	0.368742921
COQ6	51004	1517	0.081495194	0.368742921
TREM2	54209	1518	0.08174516	0.369509676
OR4C6	219432	1519	0.081772319	0.369509676
ACSL6	23305	1520	0.081934302	0.369859316
CRH	1392	1521	0.081957462	0.369859316
PHLPP	23239	1522	0.082256873	0.370734679
PIGR	5284	1523	0.082312411	0.370734679
IL24	11009	1524	0.082313469	0.370734679
KCNK12	56660	1525	0.082401862	0.370794223
PDLIM7	9260	1526	0.082444957	0.370794223
PLA2R1	22925	1527	0.082491498	0.370794223
GABRP	2568	1528	0.08258464	0.370794223
LRRN2	10446	1529	0.08259679	0.370794223
KDM1	23028	1530	0.082817839	0.371374023
USP33	23032	1531	0.082879399	0.371374023
CLOCK	9575	1532	0.082888258	0.371374023
ATF1	466	1533	0.082965952	0.371479644
C8A	731	1534	0.083051279	0.371619282
SLC9A3	6550	1535	0.083145148	0.371796935
BMP4	652	1536	0.083281156	0.372024633
BDKRB1	623	1537	0.083304467	0.372024633
BAIAP3	8938	1538	0.083446124	0.372414951
SET	6418	1539	0.083507216	0.372445439
ARFIP2	23647	1540	0.083614412	0.372681379
SRCRB4D	136853	1541	0.083757872	0.372783431
TRIM33	51592	1542	0.083763138	0.372783431
MUL1	79594	1543	0.0838013	0.372783431
DMPK	1760	1544	0.083873353	0.372783431
TAP1	6890	1545	0.083908858	0.372783431
STAR	6770	1546	0.084021877	0.37304409
TMEM171	134285	1547	0.084154161	0.373389891
GPR114	221188	1548	0.084295719	0.373776366
TBC1D23	55773	1549	0.084366003	0.373806567
TYRO3	7301	1550	0.084509629	0.373806567
CAMK2G	818	1551	0.084538372	0.373806567
RDH14	57665	1552	0.084578786	0.373806567
MPP4	58538	1553	0.084607425	0.373806567
C1orf124	83932	1554	0.084629284	0.373806567
OR11H1	81061	1555	0.084826106	0.374434979
GPR26	2849	1556	0.084978984	0.37450891
NEK6	10783	1557	0.085010322	0.37450891
PTPN2	5771	1558	0.085068398	0.37450891
OR6C3	254786	1559	0.085144723	0.37450891
SLC10A1	6554	1560	0.085153251	0.37450891
IL21R	50615	1561	0.085202587	0.37450891
TRMT2A	27037	1562	0.085224784	0.37450891
POU1F1	5449	1563	0.085296361	0.374583635
ATF2	1386	1564	0.085440702	0.374743836
UMPS	7372	1565	0.085462704	0.374743836
CXXC1	30827	1566	0.085555599	0.374743836
MMP3	4314	1567	0.085569004	0.374743836
BTD	686	1568	0.085605818	0.374743836
PYGO1	26108	1569	0.085785015	0.374864243
FZR1	51343	1570	0.08580864	0.374864243
PPP1CA	5499	1571	0.08584662	0.374864243
ADRA2C	152	1572	0.085851776	0.374864243
CPA1	1357	1573	0.085991883	0.375075448
DCK	1633	1574	0.086009434	0.375075448
PSKH2	85481	1575	0.086279111	0.375184777
RAB13	5872	1576	0.086302365	0.375184777
CD79B	974	1577	0.086303305	0.375184777
CYB5D2	124936	1578	0.086339712	0.375184777
GRIN1	2902	1579	0.086406942	0.375184777
KCNJ3	3760	1580	0.086412363	0.375184777
CSNK1A1L	122011	1581	0.086417123	0.375184777
RNF146	81847	1582	0.08651686	0.375366464
FGGY	55277	1583	0.086568344	0.375366464
SERPINB10	5273	1584	0.086689073	0.375461657
IDO1	3620	1585	0.086699698	0.375461657
RGS16	6004	1586	0.086809928	0.375505392
MC1R	4157	1587	0.08681921	0.375505392
HCRTR1	3061	1588	0.087056786	0.375538912
PSMB9	5698	1589	0.087148382	0.375538912
PHIP	55023	1590	0.08717325	0.375538912
DAGLA	747	1591	0.087197512	0.375538912
EEF2K	29904	1592	0.087225192	0.375538912
METTL7B	196410	1593	0.087236174	0.375538912
GNG7	2788	1594	0.087246051	0.375538912
PREP	5550	1595	0.087264651	0.375538912
EPOR	2057	1596	0.087405849	0.375701534
DCHS2	54798	1597	0.08741191	0.375701534
CASP5	838	1598	0.087470534	0.375718239
BMP10	27302	1599	0.087688194	0.376307592
USP8	9101	1600	0.087722295	0.376307592
HUWE1	10075	1601	0.087793984	0.376307592
PTGER3	5733	1602	0.087829342	0.376307592
DAPK2	23604	1603	0.087994032	0.376307592
CRKRS	51755	1604	0.088087457	0.376307592
ADC	113451	1605	0.088220653	0.376307592
C20orf186	149954	1606	0.088245576	0.376307592
CD7	924	1607	0.088252689	0.376307592
OR2H2	7932	1608	0.088311365	0.376307592
SSH1	54434	1609	0.088356734	0.376307592
RAB40C	57799	1610	0.088393772	0.376307592
TRPC6	7225	1611	0.088437361	0.376307592
CADM2	253559	1612	0.088441603	0.376307592
MAP3K7IP1	10454	1613	0.088529649	0.376307592
TRIM21	6737	1614	0.088538299	0.376307592
DUS2L	54920	1615	0.088539738	0.376307592
OR12D3	81797	1616	0.088810032	0.377222809
DAB2	1601	1617	0.088986658	0.37753204
PRKD3	23683	1618	0.088992838	0.37753204
BEGAIN	57596	1619	0.089091593	0.377717538
PCDH15	65217	1620	0.089239925	0.378112867
CD5	921	1621	0.089303061	0.378146953
CD207	50489	1622	0.089371489	0.378203391
CRAT	1384	1623	0.089521844	0.378606246
CYTH2	9266	1624	0.089609675	0.378735583
RNF25	64320	1625	0.08966278	0.378735583
GPR137C	283554	1626	0.089734695	0.37880624
DOK4	55715	1627	0.089863893	0.378991258
ICAM1	3383	1628	0.089950263	0.378991258
PRSS2	5645	1629	0.090110391	0.378991258
SETMAR	6419	1630	0.090133073	0.378991258
LRP1	4035	1631	0.090251484	0.378991258
SQSTM1	8878	1632	0.090295273	0.378991258
GFRA4	64096	1633	0.090355169	0.378991258
ERAP2	64167	1634	0.090367212	0.378991258
ALDH5A1	7915	1635	0.090394947	0.378991258
CBR4	84869	1636	0.090407554	0.378991258
LPHN1	22859	1637	0.090430696	0.378991258
CD3D	915	1638	0.090499118	0.378991258
PSMA5	5686	1639	0.090508049	0.378991258
GABRA3	2556	1640	0.090583444	0.378991258
TAS2R38	5726	1641	0.09064887	0.378991258
TCF21	6943	1642	0.090661953	0.378991258
POLG	5428	1643	0.090729837	0.379044188
AIRE	326	1644	0.090794468	0.379083472
NLN	57486	1645	0.090944629	0.379479595
TP73	7161	1646	0.091094977	0.379876016
VPS39	23339	1647	0.091206664	0.380017709
IL17RA	23765	1648	0.091239683	0.380017709
BRCA2	675	1649	0.091352729	0.380257812
RING1	6015	1650	0.091462674	0.380382226
FOXL2	668	1651	0.091493452	0.380382226
TOB1	10140	1652	0.091597482	0.38056779
ENDOD1	23052	1653	0.091648974	0.38056779
NKX2-8	26257	1654	0.091899981	0.381243871
GPLD1	2822	1655	0.091922874	0.381243871
DNAI1	27019	1656	0.09205618	0.381317137
KDELR2	11014	1657	0.092061105	0.381317137
VCAM1	7412	1658	0.092107199	0.381317137
ATP6V1C1	528	1659	0.09216396	0.381322135
GLB1	2720	1660	0.092355134	0.381757704
MCOLN1	57192	1661	0.09238047	0.381757704
GABRA6	2559	1662	0.092557966	0.382261058
ADIPOR2	79602	1663	0.092837406	0.383127527
MBD2	8932	1664	0.092913726	0.383127527
AKAP3	10566	1665	0.093040325	0.383127527
RAB25	57111	1666	0.09309199	0.383127527
EPHX1	2052	1667	0.093143447	0.383127527
DAOA	267012	1668	0.093216092	0.383127527
P2RX3	5024	1669	0.093257673	0.383127527
DEDD2	162989	1670	0.093265084	0.383127527
SNAP25	6616	1671	0.09327051	0.383127527
HMGB2	3148	1672	0.093325936	0.383127527
DEGS1	8560	1673	0.093461856	0.383242955
APLP2	334	1674	0.093514452	0.383242955
VNN2	8875	1675	0.093600054	0.383242955
FKBP11	51303	1676	0.093602334	0.383242955
HTR3A	3359	1677	0.093633222	0.383242955
IFNA2	3440	1678	0.093742795	0.38329974
MEP1A	4224	1679	0.093807612	0.38329974
EPHA2	1969	1680	0.093874633	0.38329974
XIAP	331	1681	0.093966262	0.38329974
RNPEP	6051	1682	0.093970352	0.38329974
SPHK2	56848	1683	0.094023669	0.38329974
STAB2	55576	1684	0.094097526	0.38329974
IFNA6	3443	1685	0.094119091	0.38329974
KCNIP2	30819	1686	0.094149674	0.38329974
P2RY1	5028	1687	0.09428349	0.383616998
MPO	4353	1688	0.094363913	0.383716765
SIGLEC5	8778	1689	0.09451614	0.384108221
USP14	9097	1690	0.094707932	0.384659908
RNF7	9616	1691	0.094823937	0.384903314
TNFSF8	944	1692	0.095006213	0.385415275
THRB	7068	1693	0.095095761	0.385503471
STC1	6781	1694	0.095146512	0.385503471
GM2A	2760	1695	0.095251226	0.385503471
IL29	282618	1696	0.09525445	0.385503471
OLFM1	10439	1697	0.095308769	0.385503471
LRSAM1	90678	1698	0.095562235	0.38590488
ADCY7	113	1699	0.095562642	0.38590488
CASP6	839	1700	0.095589115	0.38590488
TNFRSF14	8764	1701	0.095744788	0.38590488
PFKFB2	5208	1702	0.095776185	0.38590488
TK1	7083	1703	0.095796853	0.38590488
CD1D	912	1704	0.095901047	0.38590488
NPSR1	387129	1705	0.095987959	0.38590488
CYTL1	54360	1706	0.096005327	0.38590488
TINAG	27283	1707	0.096057498	0.38590488
TMEM176B	28959	1708	0.096150737	0.38590488
ADRBK1	156	1709	0.09626831	0.38590488
RASSF3	283349	1710	0.096370974	0.38590488
JOSD1	9929	1711	0.09639761	0.38590488
PARD3	56288	1712	0.096408462	0.38590488
SELPLG	6404	1713	0.096410477	0.38590488
PFKFB1	5207	1714	0.096475636	0.38590488
GAA	2548	1715	0.096606584	0.38590488
ANKMY1	51281	1716	0.096688716	0.38590488
CYP4Z1	199974	1717	0.096704323	0.38590488
GUCA2B	2981	1718	0.096790134	0.38590488
CSNK1G3	1456	1719	0.096828819	0.38590488
DCLRE1B	64858	1720	0.096847754	0.38590488
RNF122	79845	1721	0.096854502	0.38590488
GPR21	2844	1722	0.096895137	0.38590488
XYLB	9942	1723	0.096968905	0.38590488
STUB1	10273	1724	0.097089518	0.38590488
RBM9	23543	1725	0.097108975	0.38590488
SCN1B	6324	1726	0.097124231	0.38590488
PARK7	11315	1727	0.097136547	0.38590488
RNF39	80352	1728	0.097152253	0.38590488
GUCY1A3	2982	1729	0.097249028	0.38590488
OR1F1	4992	1730	0.097263322	0.38590488
PPM2C	54704	1731	0.09736871	0.385957592
PLCL2	23228	1732	0.097389066	0.385957592
SLC25A43	203427	1733	0.097681845	0.386692826
NEK7	140609	1734	0.097687261	0.386692826
PDZRN3	23024	1735	0.097949052	0.387505644
STK10	6793	1736	0.098082321	0.387759187
ALDH6A1	4329	1737	0.098126123	0.387759187
ROPN1	54763	1738	0.09836229	0.387952001
IDUA	3425	1739	0.098374174	0.387952001
DNAH11	8701	1740	0.098434865	0.387952001
ADAM11	4185	1741	0.098528761	0.387952001
ZMPSTE24	10269	1742	0.098551375	0.387952001
PTH	5741	1743	0.098560237	0.387952001
PCDHA9	9752	1744	0.098648669	0.387952001
NET1	10276	1745	0.098740597	0.387952001
PDE6B	5158	1746	0.098788544	0.387952001
DMC1	11144	1747	0.098799848	0.387952001
TMEM30A	55754	1748	0.098826499	0.387952001
ANGPTL7	10218	1749	0.098853154	0.387952001
DLGAP5	9787	1750	0.099114425	0.388554964
APEX1	328	1751	0.099120009	0.388554964
ELTD1	64123	1752	0.099347879	0.389225937
CASP7	840	1753	0.099429476	0.389323402
C20orf191	149934	1754	0.099494514	0.389355954
CDKN2B	1030	1755	0.099627449	0.389654023
PCCA	5095	1756	0.099767209	0.38997843
TRHDE	29953	1757	0.099937214	0.390191995
DBF4	10926	1758	0.099950694	0.390191995
MRGPRE	116534	1759	0.100071433	0.390191995
FGFR3	2261	1760	0.100085163	0.390191995
SCARB2	950	1761	0.100186394	0.390191995
EVI1	2122	1762	0.100211648	0.390191995
TNRC6C	57690	1763	0.100219768	0.390191995
MAN2B1	4125	1764	0.100435417	0.390607061
MAK	4117	1765	0.100465768	0.390607061
CD80	941	1766	0.100675996	0.390607061
MTHFR	4524	1767	0.10072509	0.390607061
NTRK2	4915	1768	0.100920993	0.390607061
MT1E	4493	1769	0.100921627	0.390607061
LMAN2L	81562	1770	0.100921901	0.390607061
ANGPT1	284	1771	0.100976063	0.390607061
CYLD	1540	1772	0.101080181	0.390607061
HDAC6	10013	1773	0.101111565	0.390607061
GNAS	2778	1774	0.101143896	0.390607061
NRD1	4898	1775	0.101165804	0.390607061
ARHGEF11	9826	1776	0.101181431	0.390607061
CRCP	27297	1777	0.101315467	0.390607061
HMGCL	3155	1778	0.101335178	0.390607061
PDE4C	5143	1779	0.101367078	0.390607061
SLC7A11	23657	1780	0.101414087	0.390607061
TFAP2A	7020	1781	0.101432767	0.390607061
OR6A2	8590	1782	0.101443068	0.390607061
METAP1	23173	1783	0.101464509	0.390607061
EIF2AK4	440275	1784	0.101627717	0.391016059
RELA	5970	1785	0.10172215	0.391160133
SLC25A24	29957	1786	0.101805553	0.391261655
IL23R	149233	1787	0.101910258	0.391444886
KNTC1	9735	1788	0.102056676	0.391620301
GAB2	9846	1789	0.102140651	0.391620301
NBR1	4077	1790	0.102255173	0.391620301
HERC1	8925	1791	0.102326744	0.391620301
PHF15	23338	1792	0.102333323	0.391620301
SFRP5	6425	1793	0.102358822	0.391620301
FBXO8	26269	1794	0.102457341	0.391620301
TSSC4	10078	1795	0.102512801	0.391620301
DUSP7	1849	1796	0.102553312	0.391620301
COL9A2	1298	1797	0.102559006	0.391620301
DUSP22	56940	1798	0.102583523	0.391620301
RELN	5649	1799	0.102697329	0.391836835
SELS	55829	1800	0.102826381	0.391937175
CCNB3	85417	1801	0.102837828	0.391937175
DRD5	1816	1802	0.102977214	0.392213454
LLGL2	3993	1803	0.103077955	0.392213454
MYD88	4615	1804	0.103081741	0.392213454
TLR10	81793	1805	0.103353316	0.392821677
ALDH1A1	216	1806	0.103356053	0.392821677
IL1R2	7850	1807	0.103514838	0.392827154
RTP4	64108	1808	0.103659352	0.392827154
GPSM2	29899	1809	0.103669966	0.392827154
MXD3	83463	1810	0.103673904	0.392827154
ALPL	249	1811	0.103813193	0.392827154
BCR	613	1812	0.103878021	0.392827154
