Number	gene_id	symbol	difference_in_slope	pvalue	fdr	RB1_defective_median_zGARP	RB1_wild_type_median_zGARP	difference_in_median_zGARP	Penetrance.%	Coverage %	BT549_BREAST	CAL148_BREAST	CAL851_BREAST	DU4475_BREAST	HCC1187_BREAST	HCC1937_BREAST	HCC3153_BREAST	HDQP1_BREAST	MB157_BREAST	MDAMB436_BREAST	MDAMB468_BREAST	SUM149_BREAST	184A1_BREAST	BT20_BREAST	CAL51_BREAST	HCC1143_BREAST	HCC1806_BREAST	HCC2688_BREAST	HCC38_BREAST	HS578T_BREAST	MACLS2_BREAST	MDAMB157_BREAST	MDAMB231_BREAST	MDAMB453_BREAST	SKBR7_BREAST	SUM102_BREAST	SUM1315_BREAST	SUM159_BREAST	SUM52_BREAST	184B5_BREAST	CAL120_BREAST	HBL100_BREAST	HCC1395_BREAST	HCC1599_BREAST	HCC2185_BREAST	HCC70_BREAST	MFM223_BREAST	MX1_BREAST	SKBR5_BREAST	SUM185_BREAST	SUM229_BREAST	SW527_BREAST
13	57703	CWC22	-0.262502761194554	0.046606195538757	0.680900906618019	-3.374	-1.814	-1.56	100	39	-1.417	-5.697	-2.56	-2.263	-3.064	-6.362	-1.257	-6.655	-2.162	-6.257	-3.891	-3.684	-0.648	-1.869	-6.099	-3.033	-0.637	-1.22	-0.458	-0.844	-3	0.17	-3.851	-1.386	-3.656	-0.874	-0.029	-4.893	-6.017	0.361	-2.393	-1.759	-0.86	-4.903	-0.017	-3.741	-3.605	-3.948	-3.597	-0.174	-1.743	-4.945
15	5688	PSMA7	-0.342326400245278	0.000116401215255	0.077935904577546	-2.6635	-1.017	-1.6465	92	42	-2.139	-0.657	-2.059	-1.138	-2.162	-4.889	-3.332	-4.583	-3.165	-4.32	-7.286	-1.792	0.495	-1.059	-2.947	-3.02	-1.918	0.494	-1.31	-0.241	-3.342	0.819	-2.64	-0.215	-2.2	-0.975	-2.567	-1.972	-1.761	-0.973	-0.643	-2.203	-0.604	-0.551	0.053	-2.965	0.165	-0.462	-0.584	0.066	-1.06	-2.366
18	5700	PSMC1	-0.509540934715956	0.000329567939188	0.11840331083497	-3.3815	-1.851	-1.5305	92	38	-2.514	-1.58	-3.072	-4.693	0.18	-4.496	-2.164	-2.403	-3.939	-3.691	-4.327	-6.55	-1.377	-2.141	-2.753	0.273	-3.96	-0.105	-0.301	-2.129	-3.391	0.696	-2.841	-1.904	-3.074	-0.121	0.855	-0.709	-6.56	-0.288	0.649	0.504	-1.2	-2.291	-0.065	-3.193	-1.905	-3.968	-2.041	0.08	-2.788	-1.798
19	25929	GEMIN5	-0.28265829118715	0.004684447362426	0.402167029999578	-3.0795	-1.6475	-1.432	92	32	-0.383	-1.805	-2.221	-2.786	-1.836	-3.106	-3.686	-4.315	-3.368	-3.088	-3.071	-4.532	-1.114	-3.124	-0.965	-1.373	-3.143	-2.742	-1.4	-1.312	-2.135	-0.587	-1.648	-4.363	-1.647	-1.047	-0.451	-0.463	-3.32	-0.541	-1.799	-1.254	-1.196	-2.35	-3.129	-6.23	-2.954	-0.82	-2.073	0.186	-2.61	-2.028
20	6142	RPL18A	-0.435942686128374	0.005140142115246	0.413739307964853	-3.4485	-1.6605	-1.788	92	35	-3.204	-5.648	-3.693	-10.558	-1.037	-3.976	-2.104	-3.164	-4.193	-4.434	-0.1	-3.058	-3.315	-1.674	-9.142	-1.647	-3.582	-0.546	-2.3	-0.495	-3.055	0.713	-2.758	-3.209	-4.452	-1.131	-1.167	-1.777	-2.873	-1.512	0.138	-0.219	-0.644	-3.175	0.023	0.086	-0.537	-4.567	-1.333	-0.706	-1.763	-3.842
22	5097	PCDH1	-0.212190603621297	0.006857885039452	0.422663793435665	-1.825	-1.226	-0.599	92	41	-2.167	-0.37	-1.287	-2.394	-1.5	-2.484	-1.897	-1.753	-1.706	-2.736	-1.151	-2.347	-0.571	-2.322	-0.4	-3.02	0.033	-1.852	-1.237	0.507	-0.915	-1.215	-2.582	0.135	-0.844	-1.784	-3.553	-1.48	-1.623	-1.476	-0.341	-1.842	-0.818	0.112	-0.221	-1.556	-0.475	-0.597	-1.985	-0.936	-2.435	-2.53
24	6134	RPL10	-0.35414866852043	0.007595465391891	0.435675559548079	-3.051	-1.884	-1.167	92	30	-0.756	-3.239	-1.841	-5.171	-1.057	-5.525	-2.863	-5.542	-3.676	-2.45	-1.597	-3.62	-2.725	-2.25	-6.78	-1.767	-2.7	-1.209	-3.057	-5.114	-1.788	-1.857	-2.206	-0.228	-3.454	-1.714	-0.778	-4.39	-1.748	-2.556	-1.548	-2.672	-1.222	-1.759	0.201	-3.123	-1.911	-2.468	-1.797	-0.368	-1.305	-2.385
27	6872	TAF1	-0.203043989423322	0.016018394293183	0.556488084760807	-1.83	-1.2105	-0.6195	92	38	-2.091	-0.949	-1.43	-4.518	-1.271	-1.047	-2.545	-2.899	-2.998	-1.454	-1.569	-3.76	-1.362	-0.288	-1.506	0.051	-0.998	-1.043	-0.124	-1.319	-0.698	-0.597	-3.526	-1.887	-1.991	-1.526	-1.878	-0.783	-2.689	-2.061	-0.618	-0.887	-1.787	-4.543	-1.007	-2.462	-0.369	-1.102	-1.744	-0.634	-0.007	-1.777
28	24144	TFIP11	-0.534514278891275	0.016604543233526	0.558212885706114	-2.895	-1.6675	-1.2275	92	34	-1.797	-3.381	-2.177	-5.335	-2.25	-2.934	-1.789	-3.425	-2.856	-4.959	0.108	-5.884	-1.529	-2.307	-3.976	-1.707	-3.819	-0.033	-1.36	-1.024	-2.377	-0.71	-1.91	0.067	-4.202	-0.588	-1.312	-0.299	-3.533	-1.137	-1.98	-0.455	0.503	-1.628	-3.087	-0.639	-2.629	-4.423	-3.093	1.422	-3.798	-2.486
31	51138	COPS4	-0.308774365752173	0.020715935300255	0.59466848287999	-3.9025	-1.5615	-2.341	92	35	-3.932	-1.555	-3.895	-2.368	0.279	-4.656	-2.078	-7.594	-4.482	-4.219	-1.965	-3.91	-2.041	-2.673	-1.068	-3.779	-3.673	-0.938	-0.368	-0.225	-4.05	-1.031	-1.248	-0.518	-1.192	-0.723	0.394	-0.722	-1.821	-1.574	0.543	-1.901	-3.271	-2.573	0.571	-5.836	-1.975	-5.209	-1.549	0.353	-2.736	-2.824
32	6634	SNRPD3	-0.280940480090562	0.023671472037049	0.617745987875772	-2.9285	-1.8305	-1.098	92	32	-2.198	-2.989	-3.136	-2.868	-2.763	-3.999	-0.548	-6.235	-3.919	-1.822	-3.324	-2.701	-1.906	-1.499	-4.591	-2.841	-2.829	-0.51	-0.572	-0.54	-1.835	-2.906	-2.646	-1.085	-2.179	-0.731	-0.239	-1.826	-1.915	-0.735	-0.429	-1.677	-1.488	-1.171	-2.06	-2.254	-3.108	-5.238	-3.017	-1.471	-1.724	-3.333
34	57461	ISY1	-0.28917748956998	0.030511831817965	0.646675226875715	-2.5855	-1.6355	-0.95	92	35	-2.595	-2.529	-2.492	-0.852	-2.602	-2.962	-2.576	-2.216	-1.003	-4.191	-3.93	-4.678	-2.61	-0.551	-1.606	-1.665	-2.466	0.033	-0.926	-4.448	-2.106	-0.545	-4.846	-2.902	-0.644	-1.033	-2.697	-1.01	-0.995	-1.969	-0.871	0.179	-1.502	-2.253	-2.933	-2.669	-0.826	-1.336	0.768	-4.257	-2.31	-2.283
35	23521	RPL13A	-0.250288673924098	0.039194499553124	0.664445376747095	-3.0175	-1.4765	-1.541	92	37	-1.966	-3.397	-2.253	-4.276	0.701	-3.782	-1.158	-3.941	-2.895	-3.222	-1.357	-3.14	-4.519	-2.354	-5.628	-0.528	-0.657	0.777	0.585	-1.237	-2.274	-2.796	-1.378	-1.962	-2.688	-0.403	0.248	-1.722	-1.543	-1.917	1.267	-1.502	-1.451	-4.052	1.05	-1.076	0.416	-4.76	-0.896	0.637	-1.815	-3.676
36	8725	URI1	-0.314237977219932	0.040246541079733	0.664445376747095	-2.539	-1.046	-1.493	92	42	-2.631	-0.919	-1.471	-2.823	-1.199	-1.652	-3	-2.447	-4.089	-3.442	-2.983	-1.112	0.962	-1.541	-1.426	-0.359	-2.548	-1.215	0.364	-0.632	-3.998	-0.877	-1.32	-4.753	-3.731	-1.751	-2.747	1.183	-3.231	-0.705	0.114	0.397	-3.165	-0.728	-0.662	-2.375	1.645	-1.888	-0.633	-2.32	-0.303	1.175
38	5689	PSMB1	-0.459191074698789	2.82E-05	0.036125261651345	-2.4235	-1.287	-1.1365	83	38	-3.072	-1.188	-2.218	0.062	-0.549	-6.591	-2.305	-1.691	-4.782	-3.42	-6.079	-2.542	-2.124	-0.893	-1.073	0.239	-2.093	0.141	-0.295	-0.409	-3.426	0.64	-1.793	-0.397	-1.728	-0.445	-2.048	-1.501	-2.318	-1.696	-0.702	-0.775	-0.375	0.472	-1.813	-2.525	-0.595	-4.799	-1.672	0.046	-1.687	-3.194
39	5683	PSMA2	-0.561457786742023	3.73E-05	0.039250167066041	-2.802	-1.0085	-1.7935	83	40	-1.661	-0.964	-4.15	-1.402	0.46	-8.188	-1.145	-2.218	-5.177	-3.742	-3.386	-5.152	-0.64	-1.788	-2.901	-2.653	-4.628	0.323	-0.468	-0.789	-2.228	0.453	-3.655	-3.3	-3.266	0.701	0.884	-0.443	-1.19	0.153	0.129	-0.302	-0.569	-0.725	-0.988	-1.029	-1.954	-3.054	-2.698	0.632	-3.137	-1.608
40	23524	SRRM2	-0.276812280870025	7.91E-05	0.066295783847816	-3.093	-1.512	-1.581	83	36	-5.063	-0.652	-3.474	-1.341	-1.453	-4.4	-0.888	-2.712	-4.203	-4.477	-1.964	-3.952	-1.814	-4.937	-5.21	-1.095	-2.704	-2.117	-1.606	-3.467	-1.891	-0.714	-2.111	-0.573	-3.127	-0.26	0.372	-2.015	-0.46	-0.072	-0.147	-1.418	-4.556	-2.684	-0.406	-0.256	-0.746	-4.432	-0.301	0.495	-2.632	-1.41
41	22938	SNW1	-0.369482251717275	0.000536173315886	0.154859469470719	-2.646	-1.441	-1.205	83	32	-0.901	-2.5	-2.792	-0.812	-1.036	-3.778	-2.388	-2.145	-3.251	-4.495	-5.471	-4.726	0.426	-1.089	-2.694	-1.285	-2.431	-1.078	-2.038	-2.327	-2.362	-0.952	-2.044	0.551	-3.497	-1.298	-0.312	-0.477	-2.675	-1.113	0.022	-0.002	-0.634	-3.594	-1.435	-0.814	-1.447	-3.93	-3.002	-1.486	-2.895	-2.87
44	9276	COPB2	-0.377752754323239	0.003612300393786	0.372808587001232	-2.53	-1.478	-1.052	83	33	-2.417	-1.973	-2.643	0.14	-0.541	-1.816	-2.903	-6.197	-3.085	-8.341	-1.972	-4.497	-1.974	-1.875	-4.403	-0.964	-3.382	-0.441	-0.703	-1.14	-2.038	-0.069	-4.598	-0.101	-4.008	-1.12	-0.333	-1.673	-4.29	-1.135	-0.282	-0.2	-1.145	0.521	-1.56	-3.233	-1.396	-5.87	-2.663	-0.65	-2.901	-2.823
47	6229	RPS24	-0.304132440446261	0.015901830366071	0.556488084760807	-2.85	-1.5995	-1.2505	83	33	-2.211	-2.243	-3.209	-3.458	0.566	-5.326	-0.692	-4.652	-4.514	-2.491	-2.272	-3.345	-1.743	-2.264	-6.934	-2.744	-2.739	0.091	-0.554	-2.128	-2.521	-0.977	-2.296	-4.592	-2.406	-0.133	0.578	-1.274	-1.565	-1.366	0.708	-1.553	-1.634	-0.721	-0.199	-4.488	-1.067	-6.283	-0.982	0.72	-2.345	-3.775
49	833	CARS	-0.278657222673483	0.025121169028216	0.629310918002748	-1.3685	-1.1745	-0.194	83	34	-4.1	-1.287	-2.703	0.062	-0.812	-1.057	-1.695	-3.736	-1.357	-1.38	-1.331	-4.255	-4.139	-0.435	-1.597	-1.272	-2.146	-0.874	-0.585	-0.176	-2.115	-1.077	-1.036	-1.023	-1.351	-2.213	0.389	-0.176	-3.34	-1.049	-0.589	-0.522	-1.3	-0.978	-1.842	-3.008	-2.305	-3.209	-0.822	0.187	-2.395	-1.983
50	8815	BANF1	-0.255239164936636	0.027435592432238	0.643919863453366	-2.21	-1.216	-0.994	83	36	-1.408	-1.938	-3.092	-3.409	-0.404	-5.803	-2.829	-7.088	-1.318	-1.662	-0.319	-2.482	-0.524	-2.114	-2.655	-2.029	-3.157	-2.465	-1.346	-0.877	-1.265	-2.466	-1.265	-1.59	-0.852	-0.834	-1.955	0.107	-1.382	-1.128	-0.791	-1.164	-0.509	-0.847	-0.113	-4.428	0.264	-3.99	-1.167	0.735	-0.683	-2.061
51	8021	NUP214	-0.214123315633475	0.028592802145269	0.645144499346783	-1.8685	-1.209	-0.6595	83	37	-1.321	-1.731	-0.748	-1.606	-1.521	-2.006	-2.136	-8.636	-2.648	-2.849	-0.428	-4.507	-2.375	-0.382	-4.702	-0.803	-1.462	-1.541	-0.252	-1.084	-2.543	-0.733	-0.822	-1.697	-2.133	-0.034	-1.49	-1.115	-1.303	-0.2	-0.708	0.341	-2.48	-1.553	-0.558	-2.309	-1.375	-0.673	-0.9	-0.806	-2.581	-3.918
52	5685	PSMA4	-0.254221191889786	0.030279442734121	0.645464821235318	-2.3895	-0.602	-1.7875	83	42	-2.224	-2.555	-2.214	-0.396	0.914	-6.172	-1.971	-5.925	-2.569	-3.988	-4.229	-1.577	-0.47	-0.434	-2.418	-0.54	-3.683	-0.188	0.255	-2.157	-4.477	0.037	-4.661	-5.346	-1.11	0.674	0.857	0.07	-3.554	-0.406	0.672	0.212	-0.36	0.247	-1.792	-4.932	-1.945	-5.751	-0.664	0.954	-1.528	-2.763
54	2547	XRCC6	-0.158419047313427	0.044737128785275	0.680073552227073	-2.2605	-1.2735	-0.987	83	34	-1.95	-2.093	-1.267	-3.834	-0.161	-4.215	-2.428	-4.125	-2.876	-0.527	-1.424	-3.465	-0.823	-2.238	-2.845	-2.116	-2.241	-1.128	-1.391	-0.633	-1.989	-1.087	-2.124	-0.925	-1.429	-1.099	0.065	0.119	-3.229	-0.784	-1.267	0.098	-0.9	-0.893	-0.87	-1.736	-1.605	-4.978	-3.069	0.162	-2.327	-1.28
55	6187	RPS2	-0.37238429561048	0.000104710127001	0.073446674796238	-1.7675	-0.6975	-1.07	75	43	-1.117	-0.864	-3.82	-1.639	0.745	-2.957	-1.044	-0.46	-3.928	-2.035	-1.896	-2.87	-0.484	-1.655	-1.871	-1.047	-0.669	0.243	0.058	-0.029	0.161	1.069	-3.05	-1.064	-1.082	-0.726	-0.382	-1.287	-1.672	-0.757	0.729	-0.108	-0.108	-0.045	1.017	-0.147	-0.209	-1.115	-0.883	-1.048	-2.316	-2.582
58	1956	EGFR	-0.123522691702983	0.001373977130541	0.238102154504399	-2.2935	-1.609	-0.6845	75	29	-0.894	-2.999	-2.385	-2.202	-1.62	-2.76	-1.139	-10.21	-3.269	-0.327	-0.238	-5.557	-2.448	-4.082	-0.568	-2.925	0.14	-0.772	-1.341	-0.937	-2.237	-1.337	-0.655	-1.894	-1.173	-2.44	-1.561	-2.045	-1.249	-1.788	0.257	-1.755	-1.657	-1.221	-2.503	-3.069	-1.342	-0.484	-1.857	-3.468	-4.074	-0.324
59	5093	PCBP1	-0.293161924516678	0.00238417163233	0.319262255856574	-2.025	-0.869	-1.156	75	39	-4.594	-0.753	-0.742	-2.255	-1.501	-3.401	-2.299	-1.856	-2.211	-2.194	-0.553	-1.716	-3.173	0.376	-0.399	-0.831	-2.429	-2.297	0.331	-2.584	-2.488	-1.587	-0.878	-1.785	-1.093	-1.621	-2.322	-0.276	0.525	0.591	0.491	0.096	-1.121	-3.87	0.443	-2.082	-2.913	-0.86	-0.613	0.806	-0.354	-0.114
60	10114	HIPK3	-0.198347504849165	0.006014877341544	0.422663793435665	-1.273	-0.9365	-0.3365	75	38	-1.961	-1.183	0.609	-3.555	-1.342	-1.916	-0.333	-0.46	-1.204	-2.726	-3.398	-1.189	0.879	-2.892	-0.627	-1.155	-1.128	-0.738	0.044	-3.512	-0.306	-1.239	1.089	-1.632	0.301	-1.563	1.253	-1.783	-3.531	-1.018	-0.487	0.55	-2.339	-1.739	1.232	-2.928	-0.855	-1.288	-0.2	-7.185	0.641	-0.84
63	6301	SARS	-0.153661290854032	0.030672946663991	0.647120964318552	-2.171	-1.127	-1.044	75	32	-1.375	-2.806	-1.174	-4.725	-0.542	-2.199	-0.726	-5.401	-2.502	-2.143	0.115	-2.221	-1.88	0.046	-2.11	-1.12	-0.853	-1.641	-0.882	0.078	-0.745	-0.493	-0.718	-2.012	-1.765	0.115	0.809	-1.381	-3.476	-1.134	-1.033	-1.61	-1.062	-2.393	-2.451	-1.574	-0.848	-1.568	-1.461	0.896	-1.108	-2.441
65	4609	MYC	-0.114480819083168	0.03616138694451	0.664445376747095	-1.509	-1.064	-0.445	75	33	-1.713	-0.666	-1.885	-0.985	-1.143	-1.305	-2.327	-4.381	-1.867	-2.074	-0.27	-1.246	-5.131	-1.323	-4.275	-0.383	0.184	-1.835	-0.103	-1.57	-1.493	-0.752	-0.785	-1.548	-0.41	-0.485	-0.574	-1.747	-1.47	-1.06	-1.146	-0.066	-1.84	-1.065	-1.225	-0.944	-1.008	-2.016	0.122	-2.296	-0.705	-1.063
66	375133	PI4KAP2	-0.12359631053502	0.036643240737839	0.664445376747095	-1.7895	-1.1495	-0.64	75	32	-3.031	0.208	-2.053	-0.095	-1.526	-2.529	-1.158	-4.744	-1.166	-3.381	0.107	-2.326	-2.115	-2.755	-1.076	-0.376	-0.409	-1.246	-0.396	-3.912	-1.026	-2.031	-5.009	-5.203	-1.996	-1.05	0.173	-3.498	-1.4	0.287	-0.427	-0.005	-2.406	-0.673	-0.637	-1.055	-2.314	0.318	0.578	-1.629	-1.223	-2.083
67	27156	RTDR1	-0.205457971480319	0.037050519620548	0.664445376747095	-1.809	-0.8555	-0.9535	75	38	-0.534	-2.324	-2.444	-3.584	-0.118	-1.231	-2.446	-1.385	-2.128	-0.499	-3.48	-1.49	-1.938	-1.012	-3.324	-0.699	-0.425	-1.458	-0.672	-1.108	-2.724	-1.086	-0.317	-0.506	-3.254	-0.592	0.072	-0.308	-1.689	-0.246	-1.291	-0.55	-0.598	0.098	-0.318	-3.033	-0.652	-2.176	-1.473	0.307	-1.18	-1.278
68	135892	TRIM50	-0.106833487717393	0.037232868636236	0.664445376747095	-1.4245	-0.271	-1.1535	75	45	-1.317	-1.667	-0.12	0.782	-1.28	-2.636	-2.054	-1.588	-0.54	-1.051	-1.532	-1.643	0.314	0.105	-2.467	-1.201	-0.733	-0.259	-0.005	0.514	0.611	1.41	-1.136	-1.441	-0.261	0.657	-0.413	-1.4	-0.452	0.417	-2.066	-1.484	0.872	-1.169	-1.026	0.637	-0.281	0.487	0.278	-1.39	0.517	-2.33
69	5708	PSMD2	-0.20436733842679	0.037809725528733	0.664445376747095	-1.668	-1.018	-0.65	75	38	-1.69	-1.374	-2.998	-1.646	0.514	-0.219	-1.623	0.294	-2.831	-3.076	-5.065	-3.244	-4.213	-1.069	-0.524	-0.667	-2.006	-0.087	-0.306	0.349	-0.967	-0.36	-1.119	-0.297	-1.833	-2.15	-0.335	-2.016	-2.982	-2.763	0.679	-0.121	-1.486	0.537	1.058	-1.075	-0.648	-3.575	-3.519	0.508	-1.666	-2.247
70	64600	PLA2G2F	-0.174445189455723	0.040872682492354	0.667466311654524	-1.1215	-0.413	-0.7085	75	60	-0.068	-1.4	-2.619	-1.101	-1.069	-0.655	-1.104	-1.139	-1.827	-1.52	-0.123	-1.555	-0.042	-1.096	0.277	-0.282	-0.208	-0.732	-0.462	0.677	-0.417	-0.892	-0.578	0.092	0.581	-1.115	-1.026	0.87	0.242	0.598	-2.593	-1.785	-0.686	-0.539	-0.155	-0.54	-0.409	-0.508	-0.092	-0.127	-1.157	0.608
71	23498	HAAO	-0.188478715914676	0.043567055810446	0.676205744385283	-2.249	-1.3035	-0.9455	75	32	-2.231	-3.435	-1.506	-0.383	-2.347	-2.95	-1.075	-0.544	-2.668	-2.267	-0.773	-2.502	-0.009	-2.022	0.045	-2.191	-2.983	-1.164	-0.755	0.059	-1.4	-1.331	-1.323	0.069	-1.708	-0.245	-1.586	-0.518	-1.011	-0.802	-1.307	-1.998	-0.884	-2.21	-1.3	-1.805	-0.569	-2.2	-2.35	-1.764	-0.328	-1.091
72	124857	WFIKKN2	-0.170127117465116	0.044414563224309	0.677253122457632	-1.0655	-0.491	-0.5745	75	50	-2.136	-1.022	-1.647	-1.133	-2.506	-1.028	-1.08	-1.096	-0.144	-0.433	-0.596	-1.051	0.09	0.524	0.069	0.046	-0.903	0.639	-2.04	0.992	-0.849	0.501	-0.161	-0.444	0.344	-0.792	-1.262	-1.513	-0.74	-0.791	-0.339	-2.477	-2.148	-1.639	-2.383	-0.538	0.211	-1.484	0.368	-0.252	-0.024	-2.299
74	996	CDC27	-0.197491669750501	0.045488486072154	0.680073552227073	-2.6	-1.839	-0.761	75	30	-1.653	-2.653	-0.701	-0.581	-1.807	-3.297	-0.402	-5.455	-3.947	-4.344	-5.71	-2.547	0.041	-1.911	-2.609	-1.202	-2.06	-1.68	-2.189	-3.604	-1.958	0.645	-3.107	-5.139	-2.016	0.245	-0.973	-1.253	-1.767	-0.15	-2.303	0.275	-1.256	-2.378	0.444	-3.016	-0.926	-3.737	-2.861	-1.766	-0.829	-2.194
75	10418	SPON1	-0.180569774369445	0.046759329651617	0.681945471057734	-2.1225	-1.369	-0.7535	75	33	-2.015	-3.332	-1.61	-3.352	-0.864	-2.23	-0.995	-2.815	-0.199	-4.918	-1.641	-2.998	-0.633	-1.707	-0.78	-0.394	-1.348	-0.575	-6.148	0.06	-1.542	0.762	-2.239	-3.009	-0.056	-1.91	-1.95	-1.597	-1.169	-1.185	-0.572	-0.113	-2.82	-2.024	0.211	-1.746	-1.39	-1.923	-1.483	-0.286	-2.206	-0.051
77	54069	MIS18A	-0.302617503185747	0.000638185217148	0.164920495589411	-1.998	-0.497	-1.501	67	42	0.001	-2.031	-2.734	-0.816	-2.672	-2.839	-1.367	-3.392	-3.94	0.374	-0.209	-1.965	-0.205	-0.63	-0.131	-0.586	-1.827	-2.219	0.651	-0.001	-3.534	-0.218	-0.408	-4.417	-1.084	-0.017	-0.18	0.418	-0.994	-0.154	0.357	-0.047	-1.957	-2.541	-0.051	-2.391	-1.457	-2.896	-0.215	0.31	-0.619	-2.785
80	10921	RNPS1	-0.19667917299406	0.006231456435936	0.422663793435665	-1.24	-0.53	-0.71	67	42	-1.785	-0.443	-0.668	-1.205	-0.567	-1.626	-0.69	-1.15	-2.495	-1.275	-2.964	-1.535	-1.431	-1.243	-3.304	0.518	-0.49	-0.581	0.171	-0.954	-1.285	-1.304	-1.832	-3.057	-0.316	1.075	-0.605	-0.085	-1.196	0.727	-0.427	0.58	0.225	-0.352	-1.123	0.061	-0.57	-2.724	-0.051	0.122	-0.432	-2.013
81	8449	DHX16	-0.26255739633123	0.008618167650332	0.450161735777958	-1.431	-0.472	-0.959	67	40	-0.079	-1.646	-1.097	-3.372	-0.914	-1.216	-1.904	-2.049	-2.402	-0.907	0.581	-2.229	-1.739	-0.737	-0.089	-0.458	-2.182	-0.402	0.867	0.699	-2.347	0.185	0.855	0.466	-2.574	0.291	-2.42	-0.041	0.559	0.412	-1.062	-0.486	-0.236	-2.121	-0.522	-2.078	-0.238	-4.507	-1.354	-0.129	-1.981	-1.694
83	23555	TSPAN15	-0.167126436411105	0.012440113323995	0.52355105503555	-1.211	-0.565	-0.646	67	62	-0.225	-1.281	-0.826	-2.301	-0.759	-0.349	-1.665	-3.752	-1.109	-1.877	-3.052	-1.141	-0.674	-2.154	-2.179	-1.881	-0.253	-0.627	-0.975	0.121	-0.019	-0.724	-0.81	0.134	-0.365	-0.974	-0.291	-0.218	0.257	-0.315	0.405	-0.596	-0.144	-0.402	-0.514	-0.695	-0.534	0.019	-0.908	-0.754	-1.37	-1.33
84	345829	BTF3P10	-0.132474455794485	0.02851500837189	0.645144499346783	-1.0885	-0.235	-0.8535	67	67	-2.055	-2.924	-0.503	-1.063	-1.045	-0.408	-1.305	-1.254	-0.883	-0.552	-1.114	-2.561	-0.844	-0.83	-0.054	0.676	-1.201	0.255	0.159	-0.013	-0.201	0.162	-0.416	0.09	-0.855	0.793	0.828	0.87	-0.686	0.494	-0.269	-0.376	-0.881	-0.597	0.469	-1.366	0.431	-1.185	-0.775	-0.309	-1.293	0.107
85	55651	NHP2	-0.209983682762051	0.030339543696781	0.645811385337557	-1.3615	-0.6485	-0.713	67	40	-2.757	-2.632	-1.298	-0.466	-1.854	-0.316	-0.838	-1.849	-1.11	-1.765	0.458	-1.425	-2.216	-0.364	-1.445	0.183	-1.247	0.795	-0.27	1.416	-1.48	-0.865	-1.05	-3.26	-1.008	-1.157	-0.73	0.276	0.124	0.405	0.528	0.213	0.005	-0.04	-2.369	-0.772	-1.819	-1.636	-0.319	0.114	-1.546	-0.567
86	23019	CNOT1	-0.24965528515987	0.037461351629329	0.664445376747095	-1.941	-0.7715	-1.1695	67	38	-1.836	-4.363	-2.28	-2.121	-0.349	-0.72	-2.046	0.309	-3.763	-4.61	0.223	-1.194	-1.999	-0.865	-3.119	-2.647	-3.411	0.952	0.178	-1.247	-1.514	-0.75	-1.786	-0.711	-2.75	-0.322	0.169	0.201	-0.469	-2.007	-0.07	0.431	0.59	-0.793	0.433	0.701	-5.15	-3.512	-2.308	0.704	-0.287	-1.563
87	866	SERPINA6	-0.165272147654865	0.045850073444981	0.680073552227073	-1.7005	-0.6505	-1.05	67	40	-0.645	-1.221	-2.086	-1.868	-2.256	-1.828	-1.973	-0.237	-1.573	-0.942	-0.78	-3.395	-0.311	-0.429	-1.048	-1.094	-0.481	-1.981	-2.311	-0.537	-1.59	-0.355	-0.562	-4.131	0.31	0.663	-0.63	-0.725	-1.508	-1.131	-0.671	-1.396	-0.212	-4.238	0.122	-2.21	0.163	-0.884	0.128	-0.067	-1.509	0.109
88	2103	ESRRB	-0.289745041588873	0.046254252934593	0.680900906618019	-1.282	-0.565	-0.717	67	57	-1.145	-1.002	-0.158	-1.419	-1.813	-1.809	0.063	-1.612	-0.672	-3.501	-2.563	-0.008	-1.283	-0.608	-0.985	-0.013	0.465	0.01	-0.083	-0.22	-0.262	-0.081	-0.852	-2.715	0.233	-0.796	-0.889	-1.987	-1.139	-0.842	0.312	0.255	0.247	-2.202	-0.762	-1.592	-0.773	-0.522	-0.332	-0.028	-0.712	-0.295
89	8812	CCNK	-0.218839715667527	0.047285011455813	0.684869972948711	-1.803	-0.9245	-0.8785	67	36	-0.823	-1.56	-1.261	-3.085	-0.083	-4.156	-2.271	-3.047	-2.046	-3.465	-0.12	-0.657	-1.806	-1.123	-0.938	1.086	-1.716	-0.067	-0.911	1.441	-2.36	0.818	-1.319	-2.59	-3.048	-0.495	-2.42	-0.791	-0.599	-0.747	0.159	-1.092	0.411	-1.832	-0.293	-0.223	-2.588	-4.684	-1.274	0.97	-0.074	-2.393
90	10113	PREB	-0.189968969091568	0.047909827900594	0.687216805350306	-1.837	-0.8485	-0.9885	67	38	-0.418	0.449	-1.505	-0.427	-2.631	-2.924	-1.851	-0.009	-1.823	-6.282	-1.916	-2.433	-2.145	-0.246	-3.564	-0.137	-3.031	-2.086	-3.568	0.383	-1.356	-0.499	-1.346	-0.825	-1.327	-0.872	0.53	-0.745	-0.159	-2.36	-0.933	-1.329	-2.511	-0.237	-2.465	0.624	-0.678	-2.909	-0.367	0.563	-0.717	-0.647
