target	cell_line_number_altered_group	cell_line_number_unaltered_group	median_altered_group	median_unaltered_group	median_difference	mptest.pvalue	Penetrance.(%)	Coverage (%)	HCC1187_BREAST	HCC1937_BREAST	MDAMB436_BREAST	MDAMB468_BREAST	BT20_BREAST	CAL120_BREAST	CAL51_BREAST	HCC1395_BREAST	HCC70_BREAST	MDAMB453_BREAST	HCC1143_BREAST	HCC1806_BREAST	HCC38_BREAST	HS578T_BREAST	MDAMB157_BREAST	MDAMB231_BREAST
FOXK1	4	12	-2.364941328	0.7124370365	-3.0773783645	0.029	75	60	-3.943043452	-3.088634245	-1.641248411	-0.244128933	0.114984367	0.640345022	1.324823051	-0.059502075	-3.29619587	-2.638257208	0.784529051	1.937605177	-0.516692204	1.35096631	1.333141361	2.752007277
DNAJA2	4	12	-1.031041001	0.8384000075	-1.8694410085	0.029	50	67	-2.382370167	-1.317626565	-0.744455437	0.431595067	1.367602928	-0.896165556	0.988525686	-0.132584365	-1.526772629	0.775418522	1.544664085	-0.663649003	0.901381493	1.600515591	-0.936172663	0.965551308
SEC62	4	12	-1.7270062195	-0.294434899	-1.4325713205	0.029	75	50	-1.706210446	-2.091229338	-0.284175651	-1.747801993	-0.324776923	0.899797053	0.329081806	-0.264092875	-0.748416537	0.051884049	-1.433290676	0.479920483	1.036454993	-0.362526203	-1.575494156	-1.773153031
DRD2	4	12	-1.7584969625	0.0925447375	-1.8510417	0.03	75	60	-1.79216631	0.240075896	-1.835342297	-1.724827615	-0.244921152	-0.354009838	1.61556777	-0.262587657	1.545456305	0.633215042	0.533395329	-0.411326951	-1.867031095	3.198819324	-1.438043996	0.430010627
CHMP2A	4	12	-5.655822967	2.212109386	-7.867932353	0.03	50	67	NA	-5.655822967	-6.242065724	-0.544816011	NA	NA	NA	NA	NA	NA	3.207929853	5.950199182	1.216288919	3.320821195	0.997636215	-6.28959892
ANKRD17	4	12	-1.923872875	0.715407861	-2.639280736	0.03	100	57	-2.374447967	-1.473297783	-3.01575001	-1.272470028	-1.24870343	0.284677879	3.104149041	1.0685399	-1.899116002	-4.602170444	0.677183249	-0.864476758	1.086760959	4.674725076	2.391547203	0.753632473
ATR	4	12	-3.2573770925	-0.415169218	-2.8422078745	0.031	75	43	-3.70577358	-6.28959892	-2.808980605	0.034756254	-3.851145939	1.310563093	-0.761092056	-1.477258883	-0.313646232	0.222607446	-0.516692204	0.448231686	-2.415247294	1.253127147	1.524066367	-1.546974238
PLK1	4	12	-4.2971657665	1.54961546	-5.8467812265	0.031	75	43	0.358908887	-4.435804256	-5.346857189	-4.158527277	-2.008838464	-2.247296667	1.392953966	1.559320154	2.142394032	1.539910766	3.713366176	-10.29030963	2.720714589	1.986722813	7.293011984	-4.408076558
U2SURP	4	12	-2.1829287965	0.312247133	-2.4951759295	0.032	100	57	-3.247078233	-1.048667895	-3.045062148	-1.320795445	-1.197209134	3.688015138	2.417690461	0.989317906	1.850857093	-0.313329344	-2.167282453	-3.449490428	-0.318874884	1.495942559	0.93782361	-0.765449265
PNO1	4	12	-3.398788352	0.088405388	-3.48719374	0.033	100	50	-1.457057275	-4.186254974	-2.61132173	-6.281676721	1.123599186	2.406203272	-2.782837347	-2.043696142	-1.664222789	-0.961523701	2.812612102	-6.174727029	4.801480267	0.496953212	4.242965208	-0.320142436
FDXR	4	12	-1.0348040455	0.027772835	-1.0625768805	0.033	50	50	-1.372289741	-0.739702117	-1.329905974	0.012336429	-1.140961518	0.026081445	0.546863069	-0.041003739	-1.998935715	2.040197659	0.561123027	-0.484607296	0.029119609	0.857809396	0.026426061	0.257980067
SLC17A2	4	12	-1.248109265	-0.193882383	-1.054226882	0.033	75	75	-1.871388304	-1.24513844	0.877218784	-1.25108009	-0.709993869	1.009519515	-0.590764768	0.944161369	-2.167282453	-0.212360913	0.307493813	-0.319667104	-0.099984514	-0.473120107	-0.175403853	0.987733466
CDKN2C	4	12	-1.051440664	0.438586408	-1.490027072	0.034	50	50	-1.203150783	-0.130366149	-2.20372457	-0.899730545	0.494576552	0.731846425	0.382596264	3.076025233	-0.356267665	0.791262921	-1.344562043	-0.881509487	0.93821972	1.948696256	-0.795553623	-1.283957217
ENPEP	4	12	-1.0264857365	0.6493169125	-1.675802649	0.034	50	40	-3.657844273	-0.361139818	-0.679493402	-1.373478071	1.259068796	4.286537304	-2.254030536	1.986722813	-0.444996299	-1.333074854	0.343381376	-1.053817324	1.62428219	1.377109568	-0.344899309	0.955252449
SLC38A3	4	12	-1.0292585055	-0.028149971	-1.0011085345	0.034	50	67	-2.805415616	0.027091526	-1.200378013	-0.858138998	2.447794819	0.103378345	-0.894581116	-0.17611685	-0.129455096	-0.217589564	0.596772925	1.897994179	0.073155154	1.936812957	-0.555907091	-1.266132269
CDK16	4	12	-2.644198858	1.872247031	-4.516445889	0.035	75	43	-0.594725868	-1.25266453	-4.578403846	-4.035733186	2.464431438	-1.200774123	-0.170690144	1.326011381	4.175626512	3.097415172	-2.61330228	2.418482681	4.389525897	6.215592863	-2.999509501	-5.085424609
RFC4	4	12	-2.432478078	-0.896363611	-1.536114467	0.035	75	33	-3.070809296	-1.79414686	-3.772716165	-0.624830226	-1.621442913	1.301452563	1.108547007	-1.465771694	-2.538041385	-0.446184629	-1.346542593	-1.668579999	0.188621211	0.883556544	2.470373087	-1.875745514
ERH	4	12	-2.9884184225	-0.13458472	-2.8538337025	0.035	100	44	-4.221904872	-2.693712604	-1.783055781	-3.283124241	-2.180354082	0.779379621	1.364830159	0.806315099	-2.991587302	-3.210636116	0.431198957	-3.5675312	0.572214107	0.080760466	-1.199189683	-0.349929906
YY2	4	12	-1.462602814	-0.511740829	-0.950861985	0.035	75	38	-1.690366047	-0.783670324	-1.234839581	-2.653309387	0.684709338	0.709268157	-0.360862541	-0.495698375	-1.048667895	1.111319777	0.002308509	-0.527783283	-1.082733352	-1.6566967	-1.166312556	-1.79097798
NUP153	4	12	-1.0342098805	0.170736846	-1.2049467265	0.035	50	50	-1.635702871	-0.162530278	-1.162351456	-0.906068305	-0.446184629	1.519313047	0.370990241	-0.282432767	-1.722847065	0.217695683	-1.24038512	1.842142674	-0.286076978	1.114488657	0.123778009	1.253919367
CORO6	4	12	-2.4576310615	-0.2045496245	-2.253081437	0.035	100	57	-2.930982477	-3.010204471	-1.935954229	-1.984279646	-0.608193607	0.011734342	-0.420833591	0.825328378	-3.171421229	-4.404115459	-1.894362683	0.80195789	0.716002026	2.089315295	-0.56105652	0.197137575
POLE2	4	12	-2.9692070885	0.0359010115	-3.0051081	0.035	100	50	-1.554896437	-3.168252349	-3.744592357	-2.770161828	-3.366307335	4.318226102	0.458134435	-0.071702262	-1.491914952	3.579084896	0.960005768	-3.444737109	1.989495583	-1.898719892	0.143504285	-0.42875579
PICALM	4	12	-1.853959465	-0.8308074105	-1.0231520545	0.035	75	60	NA	-1.853959465	-1.395660229	-1.92367482	NA	NA	NA	NA	NA	NA	-1.317626565	-0.578881469	-0.916367164	-0.444600189	-1.873368854	-0.745247657
MRPS24	4	12	-1.323568214	0.3593644135	-1.6829326275	0.036	50	100	NA	-0.781293664	-2.19817903	-1.323568214	NA	NA	NA	NA	NA	NA	-0.226224762	1.47811761	0.944953589	1.20599006	-0.542043242	-0.731779918
MRPL32	4	12	-3.264903182	0.0531119895	-3.3180151715	0.036	75	100	NA	-3.264903182	-4.043655385	-2.625977799	NA	NA	NA	NA	NA	NA	-0.169620647	0.654604981	0.275844626	-0.894581116	-0.574524259	0.891478743
SLITRK4	4	12	-1.0088588425	-0.0048587045	-1.004000138	0.036	50	67	-1.754931973	0.266734097	-1.101350521	-0.916367164	-0.055976696	0.418127328	-0.878736717	-0.55947208	-1.051440664	0.52903812	1.07091656	-0.461632918	-0.417664711	0.893855403	0.238016124	0.046259287
ICT1	4	12	-4.320932365	1.3915675815	-5.7124999465	0.037	50	100	NA	1.042396642	-5.818228055	-4.320932365	NA	NA	NA	NA	NA	NA	1.505053088	0.373763011	2.222804356	3.285567408	1.278082075	0.954460229
GRWD1	4	12	-1.434082896	-0.3151514505	-1.1189314455	0.037	50	100	NA	-1.434082896	-0.678701182	-1.616293483	NA	NA	NA	NA	NA	NA	-0.046311613	-0.792384743	-0.253595961	1.221042239	-0.37670694	-0.575316479
FUBP1	4	12	-2.3310739255	-0.0369238065	-2.294150119	0.037	100	57	-1.737107024	-1.770776372	-3.736670157	-2.891371479	-1.192455814	1.957806785	3.499070682	-0.452126278	-5.422118084	2.697740211	0.162834452	-1.723639285	-0.28853286	0.738976404	0.93108974	-0.236682065
PDPN	4	12	-1.561432252	-0.1223647275	-1.4390675245	0.038	100	50	-1.716113196	-1.406751308	-1.292275527	-1.958136388	-1.188494714	1.186976782	-3.243513244	3.002348778	-1.500629371	-0.125375163	-0.040964128	2.231518775	-0.417268601	-1.541428698	1.650425448	-0.119354292
POLR2L	4	12	-2.254030536	0.0180364515	-2.2720669875	0.038	100	50	-3.15557683	-3.115569723	-1.270093368	-1.392491349	-0.104539779	3.3964782	0.450608346	-1.575890266	-4.586326045	1.883338111	0.878803224	-1.502213811	-0.237751562	0.140612682	2.350747876	-1.545389798
SLC38A7	4	12	-1.463593089	-0.287602002	-1.175991087	0.038	75	50	-3.533069632	-1.028070176	-1.899116002	-0.97261478	-0.197586011	0.588850725	-1.783451891	-1.070850053	0.565480237	-0.994400828	-0.377617993	0.440309486	-0.637505745	-1.849602256	0.361998545	0.863751045
WDR3	4	12	-1.499044931	0.0919723585	-1.5910172895	0.038	50	50	NA	-0.556303201	-1.499044931	-1.744237004	NA	NA	NA	NA	NA	NA	0.020832988	-1.445173975	0.163111729	0.52784979	1.034078333	-1.175819195
XPO1	4	12	-2.519424217	2.0637662025	-4.5831904195	0.039	75	60	NA	-2.519424217	-2.174412432	-3.131810232	NA	NA	NA	NA	NA	NA	1.48089038	-2.942073556	6.702808127	2.646642025	4.833169064	-1.996162945
POP5	4	12	-1.31465574	-0.081941705	-1.232714035	0.039	50	50	-2.545567475	-2.103904857	-0.525406623	0.234094635	0.114033703	1.109339227	-0.590368658	-0.549569331	0.249344869	0.93267418	2.688233572	-1.000738588	0.594000155	-0.277917113	-0.766637595	-1.039953475
TARDBP	4	12	-1.7731530315	0.018725683	-1.7918787145	0.039	75	50	-1.696307697	-3.163499029	-1.849998366	0.368098639	-0.007381925	2.789637724	-0.772975355	-1.045895125	-1.209092433	0.044833291	0.566668567	0.927920861	-0.007572058	1.171528493	1.031305563	-2.283342674
XRCC6	4	12	-3.210834171	2.2647920125	-5.4756261835	0.04	75	43	-4.344698963	-2.076969379	-0.363397645	-4.629898142	-1.175819195	1.573184003	3.311314556	3.167922746	-0.064889171	-5.029969213	4.555892085	2.956400022	-2.588347352	3.447576386	6.334425854	-5.06958021
C17orf104	4	12	-1.145318727	-0.322360652	-0.822958075	0.04	75	75	NA	-1.045499015	-1.185325834	-1.145318727	NA	NA	NA	NA	NA	NA	0.948518579	-0.70286389	-0.406573632	0.773834082	-1.283957217	-0.238147672
TGIF1	4	12	-2.6424163625	-0.0487873	-2.5936290625	0.04	75	50	-2.663608246	-2.621224479	-0.477477316	-3.350859046	-5.125035606	0.788886261	0.368415527	-0.768222035	-4.752692233	0.479128263	-0.502036135	-1.054609544	1.551397955	0.66094274	1.766485669	-0.465990127
MRPS28	4	12	-2.498826498	0.0808991045	-2.5797256025	0.041	100	50	-2.649744397	-1.277223348	-2.347908599	-4.217943772	-1.285541657	1.674984266	0.593604045	0.256791737	-3.01297724	-4.336776763	-0.094993528	-0.410534731	0.421692318	1.807284996	1.366810708	-1.142149848
EIF2B2	4	12	-1.4433914805	1.458906277	-2.9022977575	0.041	50	50	0.196226522	-2.258387746	-2.006065694	-0.880717267	2.543653432	0.552012498	1.594970052	1.322842502	-5.893488949	2.117439103	2.327773498	-2.100339867	1.853233753	-0.780105334	1.967709534	-0.493717825
DGCR6	4	12	-2.1427236345	1.2582765765	-3.401000211	0.041	75	75	-1.618670143	2.325792948	-2.666777126	-3.992161089	3.190897125	-0.472327887	1.21232782	2.036236559	0.570629667	-0.464405687	1.304225333	1.431772744	0.017513587	3.79852982	5.779871895	-4.079305282
ATP5H	4	12	-2.5214047665	1.180242912	-3.7016476785	0.041	75	43	-0.852197349	-2.408909535	-3.095368114	-2.633899998	0.959609658	2.967887211	-2.757486309	2.661298093	-4.645742541	-1.851582806	1.400876166	-1.24593066	3.597305955	0.781756281	1.604080581	3.12316232
SF3A2	4	12	-2.221351464	0.8758323995	-3.0971838635	0.042	75	43	-0.5681865	-2.398214566	-2.044488362	-3.383340063	-2.443767212	3.106525701	1.266594886	-1.321587665	-4.459570854	0.485069913	5.062912847	-2.226302838	2.534939013	1.515351947	3.012647638	-0.947659852
SOX9	4	12	-2.0581541555	-0.4495515635	-1.608602592	0.042	75	43	-4.483337453	-2.901274229	0.246017546	-1.215034082	0.382715097	-0.492529495	1.75856347	-1.371101411	-0.406573632	-0.248684197	-2.112223167	0.156338248	-2.686582624	1.579917873	-1.025297406	-0.786839204
SOX1	4	12	-1.1884947145	1.579521763	-2.7680164775	0.042	75	75	-1.347730923	-1.456661165	1.815207196	-1.029258506	0.718774796	-0.949244292	-0.291899795	2.256077593	2.622875426	3.019381507	3.771594342	2.527016813	0.045902788	1.363245719	1.795797807	-3.490685865
EIF6	4	12	-2.5566585535	1.167765448	-3.7244240015	0.043	100	50	-2.423961714	-2.535664725	-4.087227482	-2.577652382	4.143937715	2.101198595	-3.387697273	1.234906088	-0.525802733	-1.52003876	1.88413033	-6.273754521	4.468747891	1.100624808	3.104149041	-1.184533615
AP2M1	4	12	-3.3379854715	-0.825063816	-2.5129216555	0.043	75	38	-3.045062148	0.117717526	-3.630908795	-4.471454154	-2.777687918	-0.615323586	-3.0153539	-0.905672195	-3.011392801	-3.658636493	1.496734779	-0.744455437	1.955826235	0.114548646	2.086146416	-2.917514737
ASGR1	4	12	-1.0385670905	0.2180521815	-1.256619272	0.043	50	67	-1.349315362	-0.441827419	-0.755546516	-1.321587665	0.185927663	0.426445637	-0.691376701	1.703504184	1.522878037	-0.946075412	0.208109821	-1.334263184	-0.686227271	0.227994542	1.779161188	0.424465087
NXNL2	4	12	-1.963681927	0.362057962	-2.325739889	0.043	50	50	NA	-2.227095058	-0.629187435	-1.963681927	NA	NA	NA	NA	NA	NA	0.273111468	-1.887232703	0.997240105	-1.773549141	0.451004456	0.771457422
MRPL21	4	12	-2.61647116	1.400083946	-4.016555106	0.044	50	100	NA	-0.772975355	-2.61647116	-4.728925635	NA	NA	NA	NA	NA	NA	0.355383509	1.709445833	3.021758167	2.995614909	1.090722059	0.599941805
COPZ1	4	12	-3.1607262595	-1.202952728	-1.9577735315	0.044	100	40	-3.984238889	-2.87790374	-2.945638545	-3.375813974	-1.565591407	5.225317935	-1.51964265	-0.175601908	-4.776458831	-3.271637052	-0.782878104	-3.379775074	3.191689345	-0.886262806	-0.31554756	-2.903254779
SRSF6	4	12	-1.469138629	0.3298740265	-1.7990126555	0.045	75	50	-1.466960024	-1.539052039	-1.471317234	-0.459256258	1.451974352	-1.606786844	1.897598069	0.897024283	-0.538082142	-2.875130971	-1.987448526	-0.091428539	2.007320531	2.035048229	-0.039617354	0.699365407
TUFM	4	12	-2.779272358	0.35027369	-3.129546048	0.046	75	75	NA	-3.466919267	-2.259179966	-2.779272358	NA	NA	NA	NA	NA	NA	0.645098341	-2.06667052	0.055449039	3.849628006	1.48326704	-0.529367723
UBR4	4	12	-5.719200562	-1.4554728345	-4.2637277275	0.046	75	50	NA	-6.97090807	-5.719200562	-5.457767981	NA	NA	NA	NA	NA	NA	-2.19778292	-4.194177174	0.355541953	0.212942363	-0.713162749	-2.213627319
RPL21P28	4	12	-3.800839973	1.368791258	-5.169631231	0.046	50	67	NA	1.225003339	-3.800839973	-4.65366474	NA	NA	NA	NA	NA	NA	3.306561236	0.716002026	2.990465479	-0.594329758	2.02158049	-1.886440483
CST6	4	12	-1.903473212	0.698196883	-2.601670095	0.047	75	43	-3.326696337	-1.401997989	-2.404948435	-0.994400828	1.763316789	1.06972823	1.61437944	1.396122846	-0.464009577	-1.506174911	-3.109628073	-2.891371479	0.326665536	1.678549256	-1.034804046	1.840954344
MRPL22	4	12	-2.486547089	0.739966679	-3.226513768	0.047	50	100	NA	-0.340383655	-4.269438068	-2.486547089	NA	NA	NA	NA	NA	NA	0.363662207	0.480316593	0.740956954	1.018630044	0.738976404	2.476314737
ZNF654	4	12	-1.324756544	0.3081672	-1.632923744	0.047	75	100	NA	-1.060155084	-1.324756544	-1.900304332	NA	NA	NA	NA	NA	NA	1.036454993	-0.243059436	0.859393836	-0.255299234	0.895835953	-0.937757103
VPS4B	4	12	-2.174016322	0.377209168	-2.55122549	0.047	100	67	-1.988240746	-2.61251006	-1.467752244	-2.359791898	-2.399799005	1.661516527	1.832636034	0.341678104	-0.42717135	-3.758456206	0.361642046	0.866127705	0.433575617	0.39277629	0.431595067	-0.500451695
SCARB2	4	12	-1.6499628305	-0.3518510395	-1.298111791	0.048	75	50	-2.410890085	-2.288888214	-0.722273278	-1.011037447	-0.96865368	-1.333867074	-1.632137882	-0.648992934	0.006838423	-0.43232078	0.381843655	1.602892251	1.138255255	-0.244762708	-0.271381299	-3.190434507
TGM2	4	12	-2.1987731955	0.215616105	-2.4143893005	0.049	50	33	-3.666162583	1.06893601	-4.233788171	-0.731383808	0.496557102	0.247879262	0.332963684	0.183352948	6.25916496	1.274913195	-2.076177159	-2.852948812	0.068441446	-1.51528544	-2.05914443	1.451974352
ZNF479	4	12	-1.058966754	-0.134307443	-0.924659311	0.049	25	100	-1.058966754	NA	NA	NA	-0.168630372	0.026695416	0.434763947	-0.099984514	-0.275461231	-0.680285622	NA	NA	NA	NA	NA	NA
SND1	4	12	-1.074018933	1.0519032815	-2.1259222145	0.049	25	100	-1.074018933	NA	NA	NA	0.337875448	1.06695546	1.036851103	1.507033638	1.610418341	-0.142170226	NA	NA	NA	NA	NA	NA
POLG2	4	12	-2.3627627235	0.545476684	-2.9082394075	0.049	75	50	0.210526092	-3.416613301	-2.097963208	-2.627562239	3.319236755	1.454351012	0.503290972	0.587662396	-3.115965833	-2.322557561	-0.240643165	2.278259752	1.632600499	-0.467178457	1.505449198	-2.099151537
LSM3	4	12	-2.0143840035	0.37689228	-2.3912762835	0.049	75	43	-3.403541672	-2.131632555	-0.331590014	-1.897135452	-1.769588042	2.447794819	2.336487917	0.834835017	-4.598209344	-1.2475151	-0.345849973	-2.149061394	3.245560301	0.899797053	4.738102671	-0.081050457
ZNF733P	4	12	-1.058966754	-0.134307443	-0.924659311	0.05	25	100	-1.058966754	NA	NA	NA	-0.168630372	0.026695416	0.434763947	-0.099984514	-0.275461231	-0.680285622	NA	NA	NA	NA	NA	NA
CDK11B	4	12	-2.022504258	-0.2311761365	-1.7913281215	0.05	75	43	-0.718708289	-3.398788352	-1.749386433	-2.295622083	-0.737325457	1.019026154	0.475563274	-0.952413172	-2.495261508	-2.418020064	0.274973184	-2.06865107	0.670449379	1.046753852	3.655930231	-1.163143676
OTOP3	4	12	-1.005888018	0.0875537515	-1.0934417695	0.05	50	100	NA	-1.203943003	0.087335891	-1.005888018	NA	NA	NA	NA	NA	NA	0.064678401	0.813048969	0.101477017	0.073630486	1.516936387	-0.264172097
EIF3E	4	12	-1.5360019915	2.1586345405	-3.694636532	0.05	50	33	-0.122800448	0.271289362	-3.83292488	-2.949203535	-3.308871389	5.225317935	-1.11442215	3.786250411	0.583701296	1.019026154	5.950199182	-2.239374467	3.601663165	7.376195078	3.298242927	-1.564403077
MRPS9	4	12	-1.479239433	1.030117233	-2.509356666	0.05	50	100	NA	0.670845489	-1.479239433	-2.678660425	NA	NA	NA	NA	NA	NA	1.165190733	1.084780409	-0.435885769	1.452766572	0.450608346	0.975454057
